           -           -           -           -           -           -           -           -  
           -           -           -           -           -  

  SLICE      1           2           3           4           5           6           7           8

   VOL      14          15          16          17          18          19          20          21
    NA      22          37          52          67          82          97         112         127
    K      -           -           -           -           -           -           -           -  
    CL      24          39          54          69          84          99         114         129
   HCO3    -           -           -           -           -           -           -           -  
  H2CO3    -           -           -           -           -           -           -           -  
   CO2     -           -           -           -           -           -           -           -  
   HPO4    -           -           -           -           -           -           -           -  
  H2PO4    -           -           -           -           -           -           -           -  
   UREA    -           -           -           -           -           -           -           -  
   NH3     -           -           -           -           -           -           -           -  
   NH4     -           -           -           -           -           -           -           -  
    H      -           -           -           -           -           -           -           -  
   HCO2    -           -           -           -           -           -           -           -  
  H2CO2    -           -           -           -           -           -           -           -  
   GLUC    -           -           -           -           -           -           -           -  

 NEPHRON FLUXES
  SLICE    0.0         1.0         2.0         3.0         4.0         5.0         6.0         7.0
 VOL   0.1942D-02  0.8811D-03  0.1634D-03  0.6915D-04  0.3497D-04  0.2756D-04  0.8134D-05  0.1062D-02
  NA   0.2977D-03  0.1702D-03  0.2919D-04  0.1224D-04  0.6189D-05  0.4695D-05  0.1594D-05  0.1483D-03
  K    0.2009D-04  0.1828D-04  0.3396D-05  0.1190D-05  0.5843D-06  0.4381D-06  0.1499D-06  0.8312D-05
  CL   0.2886D-03  0.1681D-03  0.3770D-04  0.1405D-04  0.6641D-05  0.4893D-05  0.1639D-05  0.1435D-03
 HCO3  0.2169D-04  0.2344D-04 -0.4971D-05 -0.6316D-06  0.9384D-07  0.2229D-06  0.9510D-07  0.1664D-04
H2CO3  0.3446D-07  0.4186D-07  0.6765D-08  0.4986D-09  0.6660D-10  0.3689D-09  0.1479D-09  0.1052D-06
 CO2   0.1440D-04  0.3212D-05  0.2730D-05  0.7912D-06  0.2823D-06  0.1649D-06  0.4151D-07  0.4086D-05
 HPO4  0.5609D-06 -0.4850D-06  0.9142D-07  0.5759D-07  0.3403D-07  0.1945D-07  0.7070D-08 -0.2814D-05
H2PO4  0.1788D-05  0.6761D-06  0.1584D-06  0.7213D-07  0.3620D-07  0.2053D-07  0.8007D-08  0.2928D-05
 UREA  0.5203D-05  0.2894D-05  0.2725D-05  0.5997D-06 -0.5566D-06  0.2941D-05  0.3421D-06  0.1575D-05
 NH3   0.2670D-05  0.2018D-05 -0.1108D-06  0.1241D-07  0.1714D-07  0.1597D-07  0.5959D-08  0.4807D-05
 NH4+ -0.4318D-05 -0.3458D-06  0.4020D-06  0.1392D-06  0.5376D-07  0.3744D-07  0.1106D-07 -0.4901D-05

 VESSEL FLUXES
  SLICE    0.0         1.0         2.0         3.0         4.0         5.0         6.0         7.0
 VOL  -0.1942D-02 -0.8812D-03 -0.1634D-03 -0.6916D-04 -0.3497D-04 -0.2756D-04 -0.8134D-05 -0.1062D-02
  NA  -0.2977D-03 -0.1702D-03 -0.2919D-04 -0.1225D-04 -0.6190D-05 -0.4696D-05 -0.1594D-05 -0.1483D-03
  K   -0.2009D-04 -0.1828D-04 -0.3397D-05 -0.1191D-05 -0.5845D-06 -0.4382D-06 -0.1499D-06 -0.8311D-05
  CL  -0.2923D-03 -0.1680D-03 -0.3768D-04 -0.1405D-04 -0.6644D-05 -0.4901D-05 -0.1640D-05 -0.1431D-03
 HCO3 -0.2140D-04 -0.2165D-04  0.4924D-05  0.5699D-06 -0.1419D-06 -0.2500D-06 -0.1031D-06 -0.1387D-04
H2CO3 -0.1508D-07 -0.1426D-07 -0.5473D-08 -0.3141D-08 -0.1766D-08 -0.1011D-08 -0.3412D-09 -0.8931D-08
 CO2  -0.1473D-04 -0.5053D-05 -0.2685D-05 -0.7263D-06 -0.2319D-06 -0.1367D-06 -0.3306D-07 -0.6950D-05
