  0.1000D+00  0.3600D-02
  0.0000  0.0000  0.0000
 15.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.145000000   0.144000000   0.144000000
   0.005000000   0.005000000   0.005000000
   0.131617889   0.120384885   0.119596634
   0.010000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.004459116   0.002000477   0.002000477
   0.003340884   0.000599523   0.000599523
   0.010000000   0.005000000   0.005000000
   0.000023114   0.000014686   0.000002937
   0.003876886   0.000985314   0.000197063
