1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.6041D-04  0.6041D-04  0.3834D-04  0.9930D-04  0.9875D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.1454D-04  0.1454D-04 -0.1971D-06  0.1386D-04  0.1434D-04
      K   -0.6935D-06 -0.6935D-06  0.2014D-06 -0.4587D-06 -0.4921D-06
      CL   0.2424D-05  0.2424D-05  0.4069D-05  0.6512D-05  0.6494D-05
     HCO3 -0.1171D-05  0.6589D-05 -0.7300D-08  0.6652D-05 -0.1179D-05
    H2CO3  0.3923D-08 -0.2772D-09  0.2156D-10  0.3757D-09  0.3945D-08
     CO2   0.7218D-05  0.3847D-06  0.6274D-08  0.1419D-06  0.7224D-05
     HPO4 -0.2886D-07  0.7161D-07  0.1034D-07  0.2439D-06 -0.1852D-07
    H2PO4  0.2597D-06  0.1592D-06  0.4167D-08 -0.4813D-08  0.2638D-06
     UREA  0.2649D-07  0.2649D-07  0.7525D-07  0.1022D-06  0.1017D-06
     NH3  -0.1484D-06  0.1877D-06  0.1186D-09 -0.3966D-10 -0.1483D-06
     NH4  -0.5302D-06 -0.3261D-06  0.1573D-07 -0.1185D-06 -0.5144D-06
      H   -0.9051D-05 -0.7476D-07  0.3195D-10 -0.4248D-08 -0.9051D-05
     HCO2 -0.1308D-05  0.1179D-07  0.5041D-07 -0.2999D-06 -0.1258D-05
    H2CO2  0.9269D-06 -0.3931D-06  0.3833D-10 -0.2120D-09  0.9270D-06
     GLUC  0.5358D-05  0.5358D-05 -0.1113D-06  0.4965D-05  0.5247D-05

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.1169D-04  0.9684D-06  0.8921D-05  0.2641D-05  0.1280D-06                                      0.1310D-05 -0.3418D-06
      K    0.0000D+00  0.8528D-06                                                              0.8528D-06                        
      CL   0.1195D-05  0.1195D-05                                      0.6447D-06  0.5499D-06  0.8528D-06              0.3418D-06
     HCO3 -0.5499D-06  0.3247D-05                                                 -0.5499D-06              0.3931D-05 -0.6837D-06
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.1280D-06                                                            
    H2PO4  0.1280D-06  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.5384D-06  0.0000D+00 -0.5384D-06                                                                                    
      H   -0.8383D-05  0.0000D+00 -0.8383D-05                                                                                    
     HCO2 -0.6447D-06  0.0000D+00                                     -0.6447D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.2641D-05  0.0000D+00              0.2641D-05                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.1271D-04
      K    0.0000D+00 -0.8171D-05
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.3068D-06
      H   -0.7537D-06  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.2849D-05  0.8605D-06
      K   -0.6935D-06  0.6624D-05
      CL   0.1229D-05  0.1229D-05
     HCO3 -0.6214D-06  0.3342D-05
    H2CO3  0.3923D-08 -0.2772D-09
     CO2   0.7218D-05  0.3847D-06
     HPO4 -0.2886D-07  0.7161D-07
    H2PO4  0.1317D-06  0.1592D-06
     UREA  0.2649D-07  0.2649D-07
     NH3  -0.1484D-06  0.1877D-06
     NH4   0.8244D-08 -0.1935D-07
      H    0.8494D-07 -0.7476D-07
     HCO2 -0.6635D-06  0.1179D-07
    H2CO2  0.9269D-06 -0.3931D-06
     GLUC  0.2718D-05  0.5358D-05
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.2845D+04  0.2845D+04  0.1806D+04  0.4677D+04  0.4651D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.6848D+03  0.6848D+03 -0.9285D+01  0.6526D+03  0.6755D+03
      K   -0.3267D+02 -0.3267D+02  0.9487D+01 -0.2160D+02 -0.2318D+02
      CL   0.1142D+03  0.1142D+03  0.1917D+03  0.3067D+03  0.3058D+03
     HCO3 -0.5517D+02  0.3103D+03 -0.3438D+00  0.3133D+03 -0.5552D+02
    H2CO3  0.1848D+00 -0.1305D-01  0.1015D-02  0.1770D-01  0.1858D+00
     CO2   0.3399D+03  0.1812D+02  0.2955D+00  0.6685D+01  0.3402D+03
     HPO4 -0.1359D+01  0.3373D+01  0.4870D+00  0.1149D+02 -0.8724D+00
    H2PO4  0.1223D+02  0.7498D+01  0.1962D+00 -0.2267D+00  0.1243D+02
     UREA  0.1248D+01  0.1248D+01  0.3544D+01  0.4812D+01  0.4792D+01
     NH3  -0.6992D+01  0.8840D+01  0.5586D-02 -0.1868D-02 -0.6986D+01
     NH4  -0.2497D+02 -0.1536D+02  0.7408D+00 -0.5579D+01 -0.2423D+02
      H   -0.4263D+03 -0.3521D+01  0.1505D-02 -0.2001D+00 -0.4263D+03
     HCO2 -0.6162D+02  0.5555D+00  0.2375D+01 -0.1413D+02 -0.5924D+02
    H2CO2  0.4366D+02 -0.1851D+02  0.1805D-02 -0.9987D-02  0.4366D+02
     GLUC  0.2524D+03  0.2524D+03 -0.5241D+01  0.2339D+03  0.2471D+03

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.5506D+03  0.4561D+02  0.4202D+03  0.1244D+03  0.6027D+01                                      0.6171D+02 -0.1610D+02
      K    0.0000D+00  0.4017D+02                                                              0.4017D+02                        
      CL   0.5627D+02  0.5627D+02                                      0.3037D+02  0.2590D+02  0.4017D+02              0.1610D+02
     HCO3 -0.2590D+02  0.1529D+03                                                 -0.2590D+02              0.1851D+03 -0.3220D+02
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.6027D+01                                                            
    H2PO4  0.6027D+01  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.2536D+02  0.0000D+00 -0.2536D+02                                                                                    
      H   -0.3948D+03  0.0000D+00 -0.3948D+03                                                                                    
     HCO2 -0.3037D+02  0.0000D+00                                     -0.3037D+02                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.1244D+03  0.0000D+00              0.1244D+03                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.5986D+03
      K    0.0000D+00 -0.3848D+03
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.1445D+02
      H   -0.3550D+02  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.1342D+03  0.4053D+02
      K   -0.3267D+02  0.3120D+03
      CL   0.5791D+02  0.5791D+02
     HCO3 -0.2927D+02  0.1574D+03
    H2CO3  0.1848D+00 -0.1305D-01
     CO2   0.3399D+03  0.1812D+02
     HPO4 -0.1359D+01  0.3373D+01
    H2PO4  0.6203D+01  0.7498D+01
     UREA  0.1248D+01  0.1248D+01
     NH3  -0.6992D+01  0.8840D+01
     NH4   0.3883D+00 -0.9116D+00
      H    0.4001D+01 -0.3521D+01
     HCO2 -0.3125D+02  0.5555D+00
    H2CO2  0.4366D+02 -0.1851D+02
     GLUC  0.1280D+03  0.2524D+03
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.2195D-04  0.2195D-04  0.5748D-04  0.7851D-04  0.7943D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.7380D-05  0.7380D-05  0.4001D-05  0.1118D-04  0.1138D-04
      K   -0.2524D-06 -0.2524D-06  0.7417D-06  0.4952D-06  0.4894D-06
      CL   0.3259D-05  0.3259D-05  0.5915D-05  0.9091D-05  0.9174D-05
     HCO3 -0.1252D-05  0.3054D-05 -0.5910D-06  0.2347D-05 -0.1843D-05
    H2CO3  0.1671D-08 -0.4977D-09  0.2741D-10  0.3301D-09  0.1698D-08
     CO2   0.3993D-05  0.1831D-06  0.9035D-08  0.1216D-06  0.4002D-05
     HPO4 -0.3388D-07  0.8023D-07 -0.1252D-07  0.2061D-06 -0.4640D-07
    H2PO4  0.3019D-06  0.1878D-06  0.1025D-07  0.5241D-07  0.3121D-06
     UREA  0.6974D-07  0.6974D-07  0.2351D-06  0.3030D-06  0.3049D-06
     NH3   0.2305D-07  0.2040D-06  0.1790D-08  0.7379D-08  0.2484D-07
     NH4  -0.5261D-06 -0.3076D-06  0.5825D-06  0.4723D-06  0.5638D-07
      H   -0.6375D-05 -0.7336D-07  0.5134D-09 -0.5137D-09 -0.6375D-05
     HCO2 -0.2056D-05  0.4433D-07  0.5689D-07  0.2394D-06 -0.1999D-05
    H2CO2  0.2248D-05  0.1475D-06  0.1941D-09  0.8886D-10  0.2248D-05
     GLUC  0.7204D-07  0.7204D-07 -0.6989D-07  0.8937D-08  0.2149D-08

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.7256D-05  0.2203D-06  0.7006D-05  0.4801D-07  0.2012D-06                                      0.1595D-05 -0.1375D-05
      K    0.0000D+00  0.7972D-06                                                              0.7972D-06                        
      CL   0.2172D-05  0.2172D-05                                      0.1370D-05  0.8019D-06  0.7972D-06              0.1375D-05
     HCO3 -0.8019D-06  0.2035D-05                                                 -0.8019D-06              0.4785D-05 -0.2749D-05
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.2012D-06                                                            
    H2PO4  0.2012D-06  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
