1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.5521D-04  0.5521D-04  0.9150D-04  0.1433D-03  0.1467D-03


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.3154D-05  0.3154D-05  0.5521D-05  0.8604D-05  0.8676D-05
      K   -0.1795D-06 -0.1795D-06 -0.7506D-06 -0.9222D-06 -0.9301D-06
      CL   0.8647D-06  0.8647D-06  0.7174D-05  0.8005D-05  0.8039D-05
     HCO3 -0.3460D-06  0.4192D-06 -0.1155D-05 -0.1186D-05 -0.1501D-05
    H2CO3 -0.7884D-09 -0.1113D-08  0.3429D-10 -0.3038D-08 -0.7541D-09
     CO2  -0.5704D-05 -0.6247D-05  0.1171D-07 -0.1032D-05 -0.5692D-05
     HPO4 -0.5615D-08  0.1306D-07 -0.2488D-07  0.1814D-06 -0.3050D-07
    H2PO4  0.5743D-07  0.3875D-07  0.1521D-07 -0.1406D-06  0.7264D-07
     UREA  0.2416D-07  0.2416D-07  0.2349D-06  0.2578D-06  0.2591D-06
     NH3  -0.1269D-06 -0.1029D-06 -0.5274D-08  0.2425D-07 -0.1322D-06
     NH4  -0.3310D-06 -0.3130D-06 -0.5959D-08 -0.4417D-06 -0.3369D-06
      H   -0.1324D-05 -0.2124D-07  0.1855D-08 -0.2047D-07 -0.1322D-05
     HCO2 -0.5288D-06  0.7995D-08  0.6651D-07  0.2155D-06 -0.4622D-06
    H2CO2  0.6806D-06  0.1438D-06  0.2201D-09 -0.7220D-10  0.6808D-06
     GLUC  0.7080D-06  0.7080D-06 -0.4756D-07  0.6405D-06  0.6604D-06

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.3154D-05 -0.4381D-07  0.1681D-05  0.7080D-06  0.5743D-07                                      0.5069D-06 -0.5507D-06
      K    0.0000D+00  0.3140D-06                                                              0.3140D-06                        
      CL   0.8647D-06  0.8647D-06                                      0.5288D-06  0.3359D-06  0.3140D-06              0.5507D-06
     HCO3 -0.3359D-06  0.4192D-06                                                 -0.3359D-06              0.1521D-05 -0.1101D-05
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.5743D-07                                                            
    H2PO4  0.5743D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.3419D-06  0.0000D+00 -0.3419D-06                                                                                    
      H   -0.1339D-05  0.0000D+00 -0.1339D-05                                                                                    
     HCO2 -0.5288D-06  0.0000D+00                                     -0.5288D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.7080D-06  0.0000D+00              0.7080D-06                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.3227D-05
      K    0.0000D+00 -0.1874D-05
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.2783D-06
      H   -0.6573D-07  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.0000D+00 -0.2842D-07
      K   -0.1795D-06  0.1380D-05
      CL   0.0000D+00  0.0000D+00
     HCO3 -0.1002D-07  0.0000D+00
    H2CO3 -0.7884D-09 -0.1113D-08
     CO2  -0.5704D-05 -0.6247D-05
     HPO4 -0.5615D-08  0.1306D-07
    H2PO4  0.0000D+00  0.3875D-07
     UREA  0.2416D-07  0.2416D-07
     NH3  -0.1269D-06 -0.1029D-06
     NH4   0.1088D-07 -0.3470D-07
      H    0.8108D-07 -0.2124D-07
     HCO2  0.0000D+00  0.7995D-08
    H2CO2  0.6806D-06  0.1438D-06
     GLUC  0.0000D+00  0.7080D-06
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.2600D+04  0.2600D+04  0.4310D+04  0.6750D+04  0.6910D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.1486D+03  0.1486D+03  0.2601D+03  0.4052D+03  0.4086D+03
      K   -0.8455D+01 -0.8455D+01 -0.3535D+02 -0.4344D+02 -0.4381D+02
      CL   0.4073D+02  0.4073D+02  0.3379D+03  0.3771D+03  0.3786D+03
     HCO3 -0.1629D+02  0.1975D+02 -0.5442D+02 -0.5586D+02 -0.7072D+02
    H2CO3 -0.3713D-01 -0.5241D-01  0.1615D-02 -0.1431D+00 -0.3552D-01
     CO2  -0.2686D+03 -0.2942D+03  0.5515D+00 -0.4861D+02 -0.2681D+03
     HPO4 -0.2645D+00  0.6152D+00 -0.1172D+01  0.8543D+01 -0.1437D+01
    H2PO4  0.2705D+01  0.1825D+01  0.7164D+00 -0.6623D+01  0.3421D+01
     UREA  0.1138D+01  0.1138D+01  0.1106D+02  0.1214D+02  0.1220D+02
     NH3  -0.5977D+01 -0.4846D+01 -0.2484D+00  0.1142D+01 -0.6225D+01
     NH4  -0.1559D+02 -0.1474D+02 -0.2807D+00 -0.2080D+02 -0.1587D+02
      H   -0.6235D+02 -0.1000D+01  0.8737D-01 -0.9640D+00 -0.6227D+02
     HCO2 -0.2490D+02  0.3766D+00  0.3133D+01  0.1015D+02 -0.2177D+02
    H2CO2  0.3206D+02  0.6775D+01  0.1037D-01 -0.3400D-02  0.3207D+02
     GLUC  0.3335D+02  0.3335D+02 -0.2240D+01  0.3017D+02  0.3111D+02

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.1486D+03 -0.2064D+01  0.7918D+02  0.3335D+02  0.2705D+01                                      0.2387D+02 -0.2594D+02
      K    0.0000D+00  0.1479D+02                                                              0.1479D+02                        
      CL   0.4073D+02  0.4073D+02                                      0.2490D+02  0.1582D+02  0.1479D+02              0.2594D+02
     HCO3 -0.1582D+02  0.1975D+02                                                 -0.1582D+02              0.7162D+02 -0.5187D+02
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.2705D+01                                                            
    H2PO4  0.2705D+01  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.1610D+02  0.0000D+00 -0.1610D+02                                                                                    
      H   -0.6308D+02  0.0000D+00 -0.6308D+02                                                                                    
     HCO2 -0.2490D+02  0.0000D+00                                     -0.2490D+02                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.3335D+02  0.0000D+00              0.3335D+02                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.1520D+03
      K    0.0000D+00 -0.8826D+02
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.1311D+02
      H   -0.3096D+01  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.0000D+00 -0.1339D+01
      K   -0.8455D+01  0.6502D+02
      CL   0.0000D+00  0.5640D-13
     HCO3 -0.4718D+00  0.9015D-13
    H2CO3 -0.3713D-01 -0.5241D-01
     CO2  -0.2686D+03 -0.2942D+03
     HPO4 -0.2645D+00  0.6152D+00
    H2PO4  0.4441D-15  0.1825D+01
     UREA  0.1138D+01  0.1138D+01
     NH3  -0.5977D+01 -0.4846D+01
     NH4   0.5123D+00 -0.1635D+01
      H    0.3819D+01 -0.1000D+01
     HCO2 -0.3553D-14  0.3766D+00
    H2CO2  0.3206D+02  0.6775D+01
     GLUC  0.0000D+00  0.3335D+02
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.1897D-04  0.1897D-04  0.5616D-04  0.7387D-04  0.7513D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.2694D-05  0.2694D-05  0.4936D-05  0.7564D-05  0.7630D-05
      K   -0.1231D-06 -0.1231D-06 -0.1216D-06 -0.2398D-06 -0.2447D-06
      CL   0.9046D-06  0.9046D-06  0.6361D-05  0.7236D-05  0.7266D-05
     HCO3 -0.3517D-06  0.1197D-05 -0.1118D-05 -0.7403D-07 -0.1470D-05
    H2CO3  0.6504D-08 -0.7012D-10  0.7408D-10  0.5219D-09  0.6578D-08
     CO2   0.1523D-05  0.1525D-06  0.1288D-07  0.1869D-06  0.1536D-05
     HPO4 -0.7327D-08  0.1741D-07 -0.2399D-07  0.1376D-07 -0.3132D-07
    H2PO4  0.8037D-07  0.5563D-07  0.1461D-07  0.4793D-07  0.9498D-07
     UREA  0.1883D-07  0.1883D-07  0.2204D-06  0.2385D-06  0.2392D-06
     NH3  -0.7088D-07 -0.8180D-07 -0.3461D-08 -0.4090D-08 -0.7434D-07
     NH4  -0.3136D-06 -0.2606D-06  0.3469D-06  0.1487D-07  0.3339D-07
      H   -0.2131D-05 -0.3426D-07  0.2131D-08  0.3971D-08 -0.2129D-05
     HCO2 -0.5674D-06  0.8439D-08  0.2953D-07  0.1085D-06 -0.5379D-06
    H2CO2  0.6496D-06  0.7380D-07  0.1925D-09  0.1108D-09  0.6498D-06
     GLUC  0.4175D-07  0.4175D-07 -0.4174D-07 -0.1977D-09  0.9110D-11

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.2694D-05  0.2136D-06  0.2530D-05  0.4175D-07  0.8037D-07                                      0.7703D-06 -0.5567D-06
      K    0.0000D+00  0.3479D-06                                                              0.3479D-06                        
      CL   0.9046D-06  0.9046D-06                                      0.5674D-06  0.3372D-06  0.3479D-06              0.5567D-06
     HCO3 -0.3372D-06  0.1197D-05                                                 -0.3372D-06              0.2311D-05 -0.1113D-05
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.8037D-07                                                            
