1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.2384D-04  0.2384D-04  0.2580D-04  0.4978D-04  0.4965D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.7141D-05  0.7141D-05  0.5117D-06  0.7436D-05  0.7653D-05
      K   -0.3357D-06 -0.3357D-06  0.1274D-06 -0.1960D-06 -0.2083D-06
      CL   0.1141D-05  0.1141D-05  0.2687D-05  0.3817D-05  0.3827D-05
     HCO3 -0.5167D-06  0.3299D-05 -0.7894D-07  0.3364D-05 -0.5956D-06
    H2CO3  0.1156D-08 -0.3191D-10  0.1441D-10  0.1802D-09  0.1170D-08
     CO2   0.3617D-05  0.2535D-06  0.3961D-08  0.7349D-07  0.3621D-05
     HPO4 -0.1296D-07  0.3166D-07  0.5796D-08  0.1180D-06 -0.7159D-08
    H2PO4  0.1176D-06  0.7303D-07  0.3483D-08 -0.6886D-08  0.1211D-06
     UREA  0.8657D-08  0.8657D-08  0.4772D-07  0.5648D-07  0.5638D-07
     NH3  -0.7078D-07  0.8676D-07  0.6454D-10  0.5186D-10 -0.7071D-07
     NH4  -0.2613D-06 -0.1620D-06  0.1011D-07 -0.6306D-07 -0.2512D-06
      H   -0.4454D-05 -0.3736D-07  0.2248D-10 -0.2408D-08 -0.4454D-05
     HCO2 -0.6492D-06  0.6463D-08  0.4988D-07 -0.1912D-06 -0.5993D-06
    H2CO2  0.3949D-06 -0.2608D-06  0.2462D-10 -0.1360D-09  0.3949D-06
     GLUC  0.2639D-05  0.2639D-05 -0.5726D-07  0.2477D-05  0.2582D-05

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.5812D-05  0.5188D-06  0.4384D-05  0.1367D-05  0.6093D-07                                      0.6712D-06 -0.1524D-06
      K    0.0000D+00  0.4383D-06                                                              0.4383D-06                        
      CL   0.5907D-06  0.5907D-06                                      0.3362D-06  0.2545D-06  0.4383D-06              0.1524D-06
     HCO3 -0.2545D-06  0.1709D-05                                                 -0.2545D-06              0.2013D-05 -0.3048D-06
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.6093D-07                                                            
    H2PO4  0.6093D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.2652D-06  0.0000D+00 -0.2652D-06                                                                                    
      H   -0.4119D-05  0.0000D+00 -0.4119D-05                                                                                    
     HCO2 -0.3362D-06  0.0000D+00                                     -0.3362D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.1367D-05  0.0000D+00              0.1367D-05                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.6203D-05
      K    0.0000D+00 -0.3985D-05
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.1521D-06
      H   -0.3752D-06  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.1329D-05  0.4191D-06
      K   -0.3357D-06  0.3211D-05
      CL   0.5498D-06  0.5498D-06
     HCO3 -0.2622D-06  0.1590D-05
    H2CO3  0.1156D-08 -0.3191D-10
     CO2   0.3617D-05  0.2535D-06
     HPO4 -0.1296D-07  0.3166D-07
    H2PO4  0.5671D-07  0.7303D-07
     UREA  0.8657D-08  0.8657D-08
     NH3  -0.7078D-07  0.8676D-07
     NH4   0.3850D-08 -0.9890D-08
      H    0.3988D-07 -0.3736D-07
     HCO2 -0.3129D-06  0.6463D-08
    H2CO2  0.3949D-06 -0.2608D-06
     GLUC  0.1272D-05  0.2639D-05
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.1123D+04  0.1123D+04  0.1215D+04  0.2344D+04  0.2338D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.3363D+03  0.3363D+03  0.2410D+02  0.3502D+03  0.3604D+03
      K   -0.1581D+02 -0.1581D+02  0.6000D+01 -0.9233D+01 -0.9811D+01
      CL   0.5372D+02  0.5372D+02  0.1265D+03  0.1798D+03  0.1803D+03
     HCO3 -0.2434D+02  0.1554D+03 -0.3718D+01  0.1585D+03 -0.2805D+02
    H2CO3  0.5442D-01 -0.1503D-02  0.6788D-03  0.8487D-02  0.5510D-01
     CO2   0.1704D+03  0.1194D+02  0.1866D+00  0.3461D+01  0.1705D+03
     HPO4 -0.6102D+00  0.1491D+01  0.2730D+00  0.5559D+01 -0.3372D+00
    H2PO4  0.5541D+01  0.3440D+01  0.1641D+00 -0.3243D+00  0.5705D+01
     UREA  0.4078D+00  0.4078D+00  0.2248D+01  0.2660D+01  0.2655D+01
     NH3  -0.3334D+01  0.4086D+01  0.3040D-02  0.2443D-02 -0.3331D+01
     NH4  -0.1231D+02 -0.7632D+01  0.4762D+00 -0.2970D+01 -0.1183D+02
      H   -0.2098D+03 -0.1760D+01  0.1059D-02 -0.1134D+00 -0.2098D+03
     HCO2 -0.3058D+02  0.3044D+00  0.2350D+01 -0.9008D+01 -0.2823D+02
    H2CO2  0.1860D+02 -0.1228D+02  0.1159D-02 -0.6405D-02  0.1860D+02
     GLUC  0.1243D+03  0.1243D+03 -0.2697D+01  0.1167D+03  0.1216D+03

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.2737D+03  0.2443D+02  0.2065D+03  0.6439D+02  0.2870D+01                                      0.3161D+02 -0.7178D+01
      K    0.0000D+00  0.2065D+02                                                              0.2065D+02                        
      CL   0.2782D+02  0.2782D+02                                      0.1584D+02  0.1199D+02  0.2065D+02              0.7178D+01
     HCO3 -0.1199D+02  0.8048D+02                                                 -0.1199D+02              0.9484D+02 -0.1436D+02
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.2870D+01                                                            
    H2PO4  0.2870D+01  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.1249D+02  0.0000D+00 -0.1249D+02                                                                                    
      H   -0.1940D+03  0.0000D+00 -0.1940D+03                                                                                    
     HCO2 -0.1584D+02  0.0000D+00                                     -0.1584D+02                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.6439D+02  0.0000D+00              0.6439D+02                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.2922D+03
      K    0.0000D+00 -0.1877D+03
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.7166D+01
      H   -0.1767D+02  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.6260D+02  0.1974D+02
      K   -0.1581D+02  0.1513D+03
      CL   0.2590D+02  0.2590D+02
     HCO3 -0.1235D+02  0.7491D+02
    H2CO3  0.5442D-01 -0.1503D-02
     CO2   0.1704D+03  0.1194D+02
     HPO4 -0.6102D+00  0.1491D+01
    H2PO4  0.2671D+01  0.3440D+01
     UREA  0.4078D+00  0.4078D+00
     NH3  -0.3334D+01  0.4086D+01
     NH4   0.1813D+00 -0.4658D+00
      H    0.1878D+01 -0.1760D+01
     HCO2 -0.1474D+02  0.3044D+00
    H2CO2  0.1860D+02 -0.1228D+02
     GLUC  0.5993D+02  0.1243D+03
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.8566D-05  0.8566D-05  0.4135D-04  0.4956D-04  0.4991D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.3948D-05  0.3948D-05  0.3200D-05  0.7040D-05  0.7148D-05
      K   -0.1465D-06 -0.1465D-06  0.4532D-06  0.3104D-06  0.3068D-06
      CL   0.1310D-05  0.1310D-05  0.4593D-05  0.5868D-05  0.5903D-05
     HCO3 -0.5237D-06  0.2207D-05 -0.8212D-06  0.1387D-05 -0.1345D-05
    H2CO3  0.4813D-09 -0.1176D-09  0.1952D-10  0.1914D-09  0.5008D-09
     CO2   0.2672D-05  0.1874D-06  0.6293D-08  0.7508D-07  0.2678D-05
     HPO4 -0.1615D-07  0.3856D-07 -0.9812D-08  0.1013D-06 -0.2596D-07
    H2PO4  0.1422D-06  0.8746D-07  0.1304D-07  0.2455D-07  0.1552D-06
     UREA  0.2692D-07  0.2692D-07  0.1779D-06  0.2041D-06  0.2049D-06
     NH3   0.1675D-07  0.8674D-07  0.1628D-08  0.3695D-08  0.1838D-07
     NH4  -0.2486D-06 -0.1247D-06  0.2758D-06  0.2359D-06  0.2721D-07
      H   -0.3525D-05 -0.3589D-07  0.2182D-09 -0.3326D-09 -0.3525D-05
     HCO2 -0.8096D-06  0.1762D-07  0.1060D-06  0.1027D-06 -0.7036D-06
    H2CO2  0.8068D-06 -0.2044D-07  0.1326D-09  0.3327D-10  0.8069D-06
     GLUC  0.7458D-07  0.7458D-07 -0.7310D-07  0.2238D-08  0.1474D-08

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.3880D-05  0.3392D-06  0.3731D-05  0.5116D-07  0.9754D-07                                      0.8358D-06 -0.4966D-06
      K    0.0000D+00  0.4019D-06                                                              0.4019D-06                        
      CL   0.8986D-06  0.8986D-06                                      0.5554D-06  0.3431D-06  0.4019D-06              0.4966D-06
     HCO3 -0.3431D-06  0.1514D-05                                                 -0.3431D-06              0.2508D-05 -0.9932D-06
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.9754D-07                                                            
    H2PO4  0.9754D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
