1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.3017D-04  0.3017D-04  0.7610D-04  0.1047D-03  0.1063D-03


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.1813D-05  0.1813D-05  0.3726D-05  0.5495D-05  0.5539D-05
      K   -0.9774D-07 -0.9774D-07 -0.5662D-06 -0.6601D-06 -0.6639D-06
      CL   0.2943D-06  0.2943D-06  0.3872D-05  0.4155D-05  0.4166D-05
     HCO3 -0.1266D-06  0.6157D-06 -0.6200D-06 -0.3536D-06 -0.7467D-06
    H2CO3 -0.4302D-09 -0.6505D-09  0.2589D-10 -0.3090D-08 -0.4043D-09
     CO2  -0.3161D-05 -0.3786D-05  0.8747D-08 -0.1049D-05 -0.3153D-05
     HPO4 -0.3458D-08  0.8117D-08  0.2147D-07  0.2218D-06  0.1801D-07
    H2PO4  0.3298D-07  0.2140D-07  0.2483D-07 -0.1468D-06  0.5781D-07
     UREA  0.7676D-08  0.7676D-08  0.1201D-06  0.1273D-06  0.1278D-06
     NH3  -0.6347D-07 -0.4870D-07 -0.5213D-08  0.2661D-07 -0.6868D-07
     NH4  -0.1637D-06 -0.1574D-06 -0.2858D-06 -0.5191D-06 -0.4495D-06
      H   -0.9351D-06 -0.1026D-07  0.2336D-09 -0.2204D-07 -0.9349D-06
     HCO2 -0.1730D-06  0.4123D-08  0.1509D-06  0.2118D-06 -0.2214D-07
    H2CO2  0.2348D-06  0.5767D-07  0.1555D-09 -0.8775D-10  0.2350D-06
     GLUC  0.3634D-06  0.3634D-06 -0.4461D-07  0.3089D-06  0.3188D-06

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.1813D-05  0.1624D-06  0.1053D-05  0.3634D-06  0.3298D-07                                      0.2908D-06 -0.1283D-06
      K    0.0000D+00  0.1660D-06                                                              0.1660D-06                        
      CL   0.2943D-06  0.2943D-06                                      0.1730D-06  0.1213D-06  0.1660D-06              0.1283D-06
     HCO3 -0.1213D-06  0.6157D-06                                                 -0.1213D-06              0.8723D-06 -0.2567D-06
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.3298D-07                                                            
    H2PO4  0.3298D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.1662D-06  0.0000D+00 -0.1662D-06                                                                                    
      H   -0.8872D-06  0.0000D+00 -0.8872D-06                                                                                    
     HCO2 -0.1730D-06  0.0000D+00                                     -0.1730D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.3634D-06  0.0000D+00              0.3634D-06                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.1665D-05
      K    0.0000D+00 -0.9702D-06
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.1403D-06
      H   -0.6491D-07  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.0000D+00 -0.1416D-07
      K   -0.9774D-07  0.7064D-06
      CL   0.0000D+00  0.0000D+00
     HCO3 -0.5329D-08  0.0000D+00
    H2CO3 -0.4302D-09 -0.6505D-09
     CO2  -0.3161D-05 -0.3786D-05
     HPO4 -0.3458D-08  0.8117D-08
    H2PO4  0.0000D+00  0.2140D-07
     UREA  0.7676D-08  0.7676D-08
     NH3  -0.6347D-07 -0.4870D-07
     NH4   0.2521D-08 -0.1716D-07
      H    0.1701D-07 -0.1026D-07
     HCO2  0.0000D+00  0.4123D-08
    H2CO2  0.2348D-06  0.5767D-07
     GLUC  0.0000D+00  0.3634D-06
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.1421D+04  0.1421D+04  0.3584D+04  0.4930D+04  0.5005D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.8540D+02  0.8540D+02  0.1755D+03  0.2588D+03  0.2609D+03
      K   -0.4603D+01 -0.4603D+01 -0.2667D+02 -0.3109D+02 -0.3127D+02
      CL   0.1386D+02  0.1386D+02  0.1824D+03  0.1957D+03  0.1962D+03
     HCO3 -0.5965D+01  0.2900D+02 -0.2920D+02 -0.1665D+02 -0.3517D+02
    H2CO3 -0.2026D-01 -0.3064D-01  0.1219D-02 -0.1455D+00 -0.1904D-01
     CO2  -0.1489D+03 -0.1783D+03  0.4120D+00 -0.4940D+02 -0.1485D+03
     HPO4 -0.1629D+00  0.3823D+00  0.1011D+01  0.1045D+02  0.8483D+00
    H2PO4  0.1553D+01  0.1008D+01  0.1169D+01 -0.6915D+01  0.2723D+01
     UREA  0.3615D+00  0.3615D+00  0.5656D+01  0.5996D+01  0.6017D+01
     NH3  -0.2990D+01 -0.2294D+01 -0.2455D+00  0.1253D+01 -0.3235D+01
     NH4  -0.7708D+01 -0.7415D+01 -0.1346D+02 -0.2445D+02 -0.2117D+02
      H   -0.4404D+02 -0.4833D+00  0.1100D-01 -0.1038D+01 -0.4403D+02
     HCO2 -0.8150D+01  0.1942D+00  0.7107D+01  0.9977D+01 -0.1043D+01
    H2CO2  0.1106D+02  0.2716D+01  0.7324D-02 -0.4133D-02  0.1107D+02
     GLUC  0.1711D+02  0.1711D+02 -0.2101D+01  0.1455D+02  0.1501D+02

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.8540D+02  0.7651D+01  0.4961D+02  0.1711D+02  0.1553D+01                                      0.1370D+02 -0.6045D+01
      K    0.0000D+00  0.7819D+01                                                              0.7819D+01                        
      CL   0.1386D+02  0.1386D+02                                      0.8150D+01  0.5714D+01  0.7819D+01              0.6045D+01
     HCO3 -0.5714D+01  0.2900D+02                                                 -0.5714D+01              0.4109D+02 -0.1209D+02
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.1553D+01                                                            
    H2PO4  0.1553D+01  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.7827D+01  0.0000D+00 -0.7827D+01                                                                                    
      H   -0.4179D+02  0.0000D+00 -0.4179D+02                                                                                    
     HCO2 -0.8150D+01  0.0000D+00                                     -0.8150D+01                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.1711D+02  0.0000D+00              0.1711D+02                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.7841D+02
      K    0.0000D+00 -0.4569D+02
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.6607D+01
      H   -0.3057D+01  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA  -0.1421D-13 -0.6670D+00
      K   -0.4603D+01  0.3327D+02
      CL  -0.1776D-14 -0.6362D-13
     HCO3 -0.2510D+00 -0.3886D-14
    H2CO3 -0.2026D-01 -0.3064D-01
     CO2  -0.1489D+03 -0.1783D+03
     HPO4 -0.1629D+00  0.3823D+00
    H2PO4  0.2220D-15  0.1008D+01
     UREA  0.3615D+00  0.3615D+00
     NH3  -0.2990D+01 -0.2294D+01
     NH4   0.1187D+00 -0.8082D+00
      H    0.8012D+00 -0.4833D+00
     HCO2  0.0000D+00  0.1942D+00
    H2CO2  0.1106D+02  0.2716D+01
     GLUC  0.0000D+00  0.1711D+02
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.6223D-05  0.6223D-05  0.2958D-04  0.3545D-04  0.3581D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.1599D-05  0.1599D-05  0.2422D-05  0.3978D-05  0.4021D-05
      K   -0.6906D-07 -0.6906D-07 -0.1894D-06 -0.2560D-06 -0.2585D-06
      CL   0.3297D-06  0.3297D-06  0.2753D-05  0.3073D-05  0.3083D-05
     HCO3 -0.1345D-06  0.9665D-06 -0.5673D-06  0.3116D-06 -0.7017D-06
    H2CO3  0.2499D-08 -0.1668D-10  0.4781D-10  0.2689D-09  0.2547D-08
     CO2   0.1091D-05  0.8658D-07  0.7225D-08  0.1002D-06  0.1099D-05
     HPO4 -0.4445D-08  0.1068D-07  0.1909D-07  0.5070D-07  0.1464D-07
    H2PO4  0.4617D-07  0.3105D-07  0.2938D-07  0.3836D-07  0.7555D-07
     UREA  0.3545D-08  0.3545D-08  0.8710D-07  0.9050D-07  0.9065D-07
     NH3  -0.1493D-07 -0.2582D-07 -0.1759D-08 -0.2110D-08 -0.1669D-07
     NH4  -0.1670D-06 -0.1351D-06  0.8093D-07 -0.7518D-07 -0.8609D-07
      H   -0.1308D-05 -0.1644D-07  0.2793D-09  0.1294D-08 -0.1308D-05
     HCO2 -0.2029D-06  0.4676D-08  0.8539D-07  0.1248D-06 -0.1175D-06
    H2CO2  0.2440D-06  0.3645D-07  0.1458D-09  0.1049D-09  0.2441D-06
     GLUC  0.4327D-07  0.4327D-07 -0.4326D-07 -0.9068D-09  0.1005D-10

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.1599D-05  0.2745D-06  0.1466D-05  0.4327D-07  0.4617D-07                                      0.4176D-06 -0.1431D-06
      K    0.0000D+00  0.1867D-06                                                              0.1867D-06                        
      CL   0.3297D-06  0.3297D-06                                      0.2029D-06  0.1269D-06  0.1867D-06              0.1431D-06
     HCO3 -0.1269D-06  0.9665D-06                                                 -0.1269D-06              0.1253D-05 -0.2862D-06
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.4617D-07                                                            
    H2PO4  0.4617D-07  0.0000D+00                                                                                                
