   .1000D+00   .1000D-06
   .0000   .0000   .0000
 12.0000   .0000   .0000
   .0000   .0020   .0020
    .280000000    .284000000    .144000000
    .010000000    .010000000    .005000000
    .255041295    .265942010    .120384837
    .025000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .006001430    .003000715    .002000477
    .001798570    .000899285    .000599523
    .010000000    .020000000    .005000000
    .000057275    .000057275    .000014686
    .003842725    .003842725    .000985314
