   .1000D+00   .3600D-02
   .0000   .0000   .0000
 12.0000   .0000   .0000
   .0000   .0020   .0020
    .145000000    .144000000    .144000000
    .005000000    .005000000    .005000000
    .131617770    .123340779    .120384837
    .010000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .004459116    .002000477    .002000477
    .003340884    .000599523    .000599523
    .010000000    .005000000    .005000000
    .000023114    .000058744    .000014686
    .003876886    .003941256    .000985314
