  0.1000D+00  0.1000D-06
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0020  0.0020
   0.280000000   0.179000000   0.144000000
   0.010000000   0.006250000   0.005000000
   0.255041295   0.156774130   0.120384837
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.006001430   0.002250536   0.002000477
   0.001798570   0.000674464   0.000599523
   0.010000000   0.008750000   0.005000000
   0.000057275   0.000025333   0.000014686
   0.003842725   0.001699667   0.000985314
