  0.1000D+00  0.3600D-02
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0020  0.0020
   0.065000000   0.144000000   0.284000000
   0.002000000   0.005000000   0.010000000
   0.056104532   0.123340779   0.269929708
   0.008000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002065548   0.002000477   0.003000715
   0.001934452   0.000599523   0.000899285
   0.030000000   0.005000000   0.020000000
   0.000015120   0.000058744   0.000116711
   0.003170080   0.003941256   0.007830423
