  0.1000D+00  0.3600D-02
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0020  0.0020
   0.065000000   0.144000000   0.144000000
   0.002000000   0.005000000   0.005000000
   0.056104532   0.119596586   0.119596586
   0.008000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002065548   0.002000477   0.002000477
   0.001934452   0.000599523   0.000599523
   0.030000000   0.005000000   0.005000000
   0.000015120   0.000002937   0.000002937
   0.003170080   0.000197063   0.000197063
  0.1000D+00  0.3600D-02
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0020  0.0020
   0.065000000   0.144000000   0.144000000
   0.002000000   0.005000000   0.005000000
   0.056104532   0.119596586   0.119596586
   0.008000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002065548   0.002000477   0.002000477
   0.001934452   0.000599523   0.000599523
   0.030000000   0.005000000   0.005000000
   0.000015120   0.000002937   0.000002937
   0.003170080   0.000197063   0.000197063
  0.1000D+00  0.3600D-02
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0020  0.0020
   0.065000000   0.144000000   0.144000000
   0.002000000   0.005000000   0.005000000
   0.056104532   0.119596586   0.119596586
   0.008000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002065548   0.002000477   0.002000477
   0.001934452   0.000599523   0.000599523
   0.030000000   0.005000000   0.005000000
   0.000015120   0.000002937   0.000002937
   0.003170080   0.000197063   0.000197063
  0.1000D+00  0.3600D-02
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0020  0.0020
   0.065000000   0.144000000   0.144000000
   0.002000000   0.005000000   0.005000000
   0.056104532   0.119596586   0.119596586
   0.008000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002065548   0.002000477   0.002000477
   0.001934452   0.000599523   0.000599523
   0.030000000   0.005000000   0.005000000
   0.000015120   0.000002937   0.000002937
   0.003170080   0.000197063   0.000197063
