1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.5535D-04  0.5535D-04  0.3690D-04  0.9268D-04  0.9225D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.1355D-04  0.1355D-04 -0.1241D-06  0.1298D-04  0.1342D-04
      K   -0.6489D-06 -0.6489D-06  0.1915D-06 -0.4272D-06 -0.4574D-06
      CL   0.2258D-05  0.2258D-05  0.3880D-05  0.6149D-05  0.6138D-05
     HCO3 -0.1084D-05  0.6141D-05 -0.3273D-08  0.6139D-05 -0.1087D-05
    H2CO3  0.3837D-08 -0.5224D-09  0.2082D-10  0.3482D-09  0.3858D-08
     CO2   0.7478D-05  0.2577D-06  0.6105D-08  0.1314D-06  0.7484D-05
     HPO4 -0.2676D-07  0.6629D-07  0.9813D-08  0.2270D-06 -0.1695D-07
    H2PO4  0.2414D-06  0.1484D-06  0.3955D-08 -0.4319D-08  0.2454D-06
     UREA  0.2375D-07  0.2375D-07  0.7195D-07  0.9607D-07  0.9570D-07
     NH3  -0.3693D-07  0.7572D-07  0.2417D-09 -0.1107D-08 -0.3669D-07
     NH4  -0.3423D-06 -0.2787D-06  0.2254D-07 -0.1726D-06 -0.3197D-06
      H   -0.8561D-05 -0.7032D-07  0.3005D-10 -0.3966D-08 -0.8561D-05
     HCO2 -0.1226D-05  0.1111D-07  0.4875D-07 -0.2925D-06 -0.1177D-05
    H2CO2  0.8559D-06 -0.3809D-06  0.3701D-10 -0.2050D-09  0.8560D-06
     GLUC  0.5023D-05  0.5023D-05 -0.1050D-06  0.4662D-05  0.4918D-05

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.1164D-04  0.1169D-05  0.8283D-05  0.3206D-05  0.1541D-06                                      0.1581D-05 -0.4125D-06
      K    0.0000D+00  0.1028D-05                                                              0.1028D-05                        
      CL   0.1441D-05  0.1441D-05                                      0.7822D-06  0.6588D-06  0.1028D-05              0.4125D-06
     HCO3 -0.6588D-06  0.3919D-05                                                 -0.6588D-06              0.4744D-05 -0.8250D-06
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.1541D-06                                                            
    H2PO4  0.1541D-06  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.3504D-06  0.0000D+00 -0.3504D-06                                                                                    
      H   -0.7933D-05  0.0000D+00 -0.7933D-05                                                                                    
     HCO2 -0.7822D-06  0.0000D+00                                     -0.7822D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.3206D-05  0.0000D+00              0.3206D-05                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.1184D-04
      K    0.0000D+00 -0.7638D-05
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.2612D-06
      H   -0.7077D-06  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.1905D-05  0.5360D-06
      K   -0.6489D-06  0.5961D-05
      CL   0.8171D-06  0.8171D-06
     HCO3 -0.4248D-06  0.2222D-05
    H2CO3  0.3837D-08 -0.5224D-09
     CO2   0.7478D-05  0.2577D-06
     HPO4 -0.2676D-07  0.6629D-07
    H2PO4  0.8736D-07  0.1484D-06
     UREA  0.2375D-07  0.2375D-07
     NH3  -0.3693D-07  0.7572D-07
     NH4   0.8128D-08 -0.1749D-07
      H    0.7906D-07 -0.7032D-07
     HCO2 -0.4435D-06  0.1111D-07
    H2CO2  0.8559D-06 -0.3809D-06
     GLUC  0.1818D-05  0.5023D-05
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.2607D+04  0.2607D+04  0.1738D+04  0.4365D+04  0.4345D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.6381D+03  0.6381D+03 -0.5844D+01  0.6113D+03  0.6323D+03
      K   -0.3056D+02 -0.3056D+02  0.9019D+01 -0.2012D+02 -0.2155D+02
      CL   0.1064D+03  0.1064D+03  0.1827D+03  0.2896D+03  0.2891D+03
     HCO3 -0.5104D+02  0.2892D+03 -0.1542D+00  0.2891D+03 -0.5119D+02
    H2CO3  0.1807D+00 -0.2461D-01  0.9805D-03  0.1640D-01  0.1817D+00
     CO2   0.3522D+03  0.1214D+02  0.2876D+00  0.6188D+01  0.3525D+03
     HPO4 -0.1260D+01  0.3122D+01  0.4622D+00  0.1069D+02 -0.7981D+00
    H2PO4  0.1137D+02  0.6988D+01  0.1863D+00 -0.2034D+00  0.1156D+02
     UREA  0.1119D+01  0.1119D+01  0.3389D+01  0.4525D+01  0.4507D+01
     NH3  -0.1739D+01  0.3566D+01  0.1138D-01 -0.5213D-01 -0.1728D+01
     NH4  -0.1612D+02 -0.1313D+02  0.1061D+01 -0.8129D+01 -0.1506D+02
      H   -0.4032D+03 -0.3312D+01  0.1415D-02 -0.1868D+00 -0.4032D+03
     HCO2 -0.5773D+02  0.5234D+00  0.2296D+01 -0.1378D+02 -0.5544D+02
    H2CO2  0.4031D+02 -0.1794D+02  0.1743D-02 -0.9654D-02  0.4032D+02
     GLUC  0.2366D+03  0.2366D+03 -0.4944D+01  0.2196D+03  0.2317D+03

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.5484D+03  0.5505D+02  0.3901D+03  0.1510D+03  0.7256D+01                                      0.7448D+02 -0.1943D+02
      K    0.0000D+00  0.4844D+02                                                              0.4844D+02                        
      CL   0.6787D+02  0.6787D+02                                      0.3684D+02  0.3103D+02  0.4844D+02              0.1943D+02
     HCO3 -0.3103D+02  0.1846D+03                                                 -0.3103D+02              0.2234D+03 -0.3886D+02
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.7256D+01                                                            
    H2PO4  0.7256D+01  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.1650D+02  0.0000D+00 -0.1650D+02                                                                                    
      H   -0.3736D+03  0.0000D+00 -0.3736D+03                                                                                    
     HCO2 -0.3684D+02  0.0000D+00                                     -0.3684D+02                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.1510D+03  0.0000D+00              0.1510D+03                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.5578D+03
      K    0.0000D+00 -0.3598D+03
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.1230D+02
      H   -0.3333D+02  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.8973D+02  0.2525D+02
      K   -0.3056D+02  0.2807D+03
      CL   0.3848D+02  0.3848D+02
     HCO3 -0.2001D+02  0.1047D+03
    H2CO3  0.1807D+00 -0.2461D-01
     CO2   0.3522D+03  0.1214D+02
     HPO4 -0.1260D+01  0.3122D+01
    H2PO4  0.4114D+01  0.6988D+01
     UREA  0.1119D+01  0.1119D+01
     NH3  -0.1739D+01  0.3566D+01
     NH4   0.3828D+00 -0.8236D+00
      H    0.3724D+01 -0.3312D+01
     HCO2 -0.2089D+02  0.5234D+00
    H2CO2  0.4031D+02 -0.1794D+02
     GLUC  0.8561D+02  0.2366D+03
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.2395D-04  0.2395D-04  0.5663D-04  0.7952D-04  0.8058D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.7484D-05  0.7484D-05  0.4157D-05  0.1143D-04  0.1164D-04
      K   -0.2603D-06 -0.2603D-06  0.7257D-06  0.4718D-06  0.4654D-06
      CL   0.3303D-05  0.3303D-05  0.5755D-05  0.8974D-05  0.9058D-05
     HCO3 -0.1270D-05  0.3194D-05 -0.5752D-06  0.2372D-05 -0.1845D-05
    H2CO3  0.1856D-08 -0.8232D-09  0.2667D-10  0.3080D-09  0.1882D-08
     CO2   0.4264D-05 -0.1975D-06  0.8854D-08  0.1127D-06  0.4273D-05
     HPO4 -0.3533D-07  0.8362D-07 -0.1161D-07  0.2158D-06 -0.4694D-07
    H2PO4  0.3124D-06  0.1935D-06  0.1013D-07  0.5233D-07  0.3225D-06
     UREA  0.6827D-07  0.6827D-07  0.2255D-06  0.2919D-06  0.2938D-06
     NH3   0.2983D-07  0.7821D-07  0.9168D-09  0.3018D-08  0.3075D-07
     NH4  -0.3375D-06 -0.2428D-06  0.3429D-06  0.1792D-06  0.5397D-08
      H   -0.6692D-05 -0.7484D-07  0.4764D-09 -0.6744D-09 -0.6692D-05
     HCO2 -0.2083D-05  0.4617D-07  0.6111D-07  0.2503D-06 -0.2022D-05
    H2CO2  0.2282D-05  0.1528D-06  0.1925D-09  0.9050D-10  0.2282D-05
     GLUC  0.7199D-07  0.7199D-07 -0.6979D-07  0.9298D-08  0.2199D-08

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.7401D-05  0.2905D-06  0.7099D-05  0.5657D-07  0.2455D-06                                      0.1929D-05 -0.1638D-05
      K    0.0000D+00  0.9572D-06                                                              0.9572D-06                        
      CL   0.2596D-05  0.2596D-05                                      0.1637D-05  0.9588D-06  0.9572D-06              0.1638D-05
     HCO3 -0.9588D-06  0.2510D-05                                                 -0.9588D-06              0.5786D-05 -0.3277D-05
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.2455D-06                                                            
    H2PO4  0.2455D-06  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
