1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.1758D-05  0.1758D-05  0.5838D-04  0.5988D-04  0.6014D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.2807D-05  0.2807D-05  0.4339D-05  0.7085D-05  0.7146D-05
      K   -0.1418D-06 -0.1418D-06  0.9532D-06  0.8136D-06  0.8113D-06
      CL   0.1012D-05  0.1012D-05  0.8554D-05  0.9525D-05  0.9566D-05
     HCO3 -0.3840D-06  0.2154D-06 -0.1340D-05 -0.1122D-05 -0.1724D-05
    H2CO3  0.2281D-09 -0.3789D-10  0.2677D-10  0.2293D-09  0.2548D-09
     CO2   0.6364D-06  0.3739D-07  0.8963D-08  0.8713D-07  0.6454D-06
     HPO4 -0.5157D-08  0.1231D-07 -0.4913D-07 -0.3043D-07 -0.5429D-07
    H2PO4  0.5532D-07  0.3786D-07  0.8137D-08  0.3825D-07  0.6346D-07
     UREA  0.3512D-07  0.3512D-07  0.3596D-06  0.3937D-06  0.3948D-06
     NH3  -0.3389D-07  0.9772D-08 -0.5785D-09  0.5459D-08 -0.3447D-07
     NH4  -0.1165D-06 -0.1182D-06  0.5988D-06  0.4864D-06  0.4823D-06
      H   -0.1284D-05 -0.1975D-07  0.2096D-08  0.2985D-08 -0.1282D-05
     HCO2 -0.6378D-06  0.8074D-08 -0.1233D-08  0.4650D-07 -0.6390D-06
    H2CO2  0.6876D-06  0.4173D-07  0.1968D-09  0.6151D-10  0.6878D-06
     GLUC  0.6526D-06  0.6526D-06 -0.8579D-07  0.5474D-06  0.5668D-06

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.2807D-05 -0.1368D-06  0.1447D-05  0.6526D-06  0.5532D-07                                      0.4890D-06 -0.6258D-06
      K    0.0000D+00  0.3863D-06                                                              0.3863D-06                        
      CL   0.1012D-05  0.1012D-05                                      0.6378D-06  0.3743D-06  0.3863D-06              0.6258D-06
     HCO3 -0.3743D-06  0.2154D-06                                                 -0.3743D-06              0.1467D-05 -0.1252D-05
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.5532D-07                                                            
    H2PO4  0.5532D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.1257D-06  0.0000D+00 -0.1257D-06                                                                                    
      H   -0.1321D-05  0.0000D+00 -0.1321D-05                                                                                    
     HCO2 -0.6378D-06  0.0000D+00                                     -0.6378D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.6526D-06  0.0000D+00              0.6526D-06                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.2972D-05
      K    0.0000D+00 -0.1873D-05
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.1100D-06
      H   -0.5662D-07  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.0000D+00 -0.2848D-07
      K   -0.1418D-06  0.1345D-05
      CL   0.0000D+00  0.0000D+00
     HCO3 -0.9640D-08  0.0000D+00
    H2CO3  0.2281D-09 -0.3789D-10
     CO2   0.6364D-06  0.3739D-07
     HPO4 -0.5157D-08  0.1231D-07
    H2PO4  0.0000D+00  0.3786D-07
     UREA  0.3512D-07  0.3512D-07
     NH3  -0.3389D-07  0.9772D-08
     NH4   0.9170D-08 -0.8152D-08
      H    0.9359D-07 -0.1975D-07
     HCO2  0.0000D+00  0.8074D-08
    H2CO2  0.6876D-06  0.4173D-07
     GLUC  0.0000D+00  0.6526D-06
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.8279D+02  0.8279D+02  0.2750D+04  0.2820D+04  0.2833D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.1322D+03  0.1322D+03  0.2043D+03  0.3337D+03  0.3366D+03
      K   -0.6680D+01 -0.6680D+01  0.4489D+02  0.3832D+02  0.3821D+02
      CL   0.4767D+02  0.4767D+02  0.4029D+03  0.4486D+03  0.4506D+03
     HCO3 -0.1808D+02  0.1014D+02 -0.6313D+02 -0.5284D+02 -0.8122D+02
    H2CO3  0.1074D-01 -0.1785D-02  0.1261D-02  0.1080D-01  0.1200D-01
     CO2   0.2998D+02  0.1761D+01  0.4222D+00  0.4104D+01  0.3040D+02
     HPO4 -0.2429D+00  0.5796D+00 -0.2314D+01 -0.1433D+01 -0.2557D+01
    H2PO4  0.2606D+01  0.1783D+01  0.3832D+00  0.1801D+01  0.2989D+01
     UREA  0.1654D+01  0.1654D+01  0.1694D+02  0.1854D+02  0.1859D+02
     NH3  -0.1596D+01  0.4603D+00 -0.2725D-01  0.2571D+00 -0.1623D+01
     NH4  -0.5488D+01 -0.5566D+01  0.2820D+02  0.2291D+02  0.2272D+02
      H   -0.6048D+02 -0.9302D+00  0.9873D-01  0.1406D+00 -0.6038D+02
     HCO2 -0.3004D+02  0.3803D+00 -0.5808D-01  0.2190D+01 -0.3010D+02
    H2CO2  0.3239D+02  0.1966D+01  0.9269D-02  0.2897D-02  0.3239D+02
     GLUC  0.3074D+02  0.3074D+02 -0.4041D+01  0.2578D+02  0.2670D+02

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.1322D+03 -0.6444D+01  0.6814D+02  0.3074D+02  0.2606D+01                                      0.2303D+02 -0.2948D+02
      K    0.0000D+00  0.1819D+02                                                              0.1819D+02                        
      CL   0.4767D+02  0.4767D+02                                      0.3004D+02  0.1763D+02  0.1819D+02              0.2948D+02
     HCO3 -0.1763D+02  0.1014D+02                                                 -0.1763D+02              0.6910D+02 -0.5895D+02
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.2606D+01                                                            
    H2PO4  0.2606D+01  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.5920D+01  0.0000D+00 -0.5920D+01                                                                                    
      H   -0.6222D+02  0.0000D+00 -0.6222D+02                                                                                    
     HCO2 -0.3004D+02  0.0000D+00                                     -0.3004D+02                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.3074D+02  0.0000D+00              0.3074D+02                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.1400D+03
      K    0.0000D+00 -0.8820D+02
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.5182D+01
      H   -0.2667D+01  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA  -0.2842D-13 -0.1341D+01
      K   -0.6680D+01  0.6333D+02
      CL   0.0000D+00  0.3642D-13
     HCO3 -0.4541D+00 -0.7283D-13
    H2CO3  0.1074D-01 -0.1785D-02
     CO2   0.2998D+02  0.1761D+01
     HPO4 -0.2429D+00  0.5796D+00
    H2PO4  0.8882D-15  0.1783D+01
     UREA  0.1654D+01  0.1654D+01
     NH3  -0.1596D+01  0.4603D+00
     NH4   0.4319D+00 -0.3840D+00
      H    0.4408D+01 -0.9302D+00
     HCO2  0.0000D+00  0.3803D+00
    H2CO2  0.3239D+02  0.1966D+01
     GLUC  0.3553D-14  0.3074D+02
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.5048D-04  0.5048D-04  0.9197D-04  0.1374D-03  0.1425D-03


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.2475D-05  0.2475D-05  0.5739D-05  0.8168D-05  0.8214D-05
      K   -0.9440D-07 -0.9440D-07  0.7737D-06  0.6829D-06  0.6793D-06
      CL   0.9647D-06  0.9647D-06  0.7964D-05  0.8886D-05  0.8928D-05
     HCO3 -0.3680D-06  0.9149D-06 -0.1138D-05 -0.2482D-06 -0.1507D-05
    H2CO3  0.5651D-08 -0.7054D-10  0.7391D-10  0.5633D-09  0.5725D-08
     CO2   0.1387D-05  0.1100D-06  0.1425D-07  0.2008D-06  0.1401D-05
     HPO4 -0.7384D-08  0.1732D-07 -0.4602D-07 -0.3494D-07 -0.5340D-07
    H2PO4  0.7326D-07  0.4856D-07  0.8587D-08  0.6160D-07  0.8185D-07
     UREA  0.4998D-07  0.4998D-07  0.4252D-06  0.4727D-06  0.4751D-06
     NH3  -0.9159D-07 -0.9079D-07 -0.4018D-08 -0.1078D-07 -0.9561D-07
     NH4  -0.3011D-06 -0.2599D-06  0.1367D-06 -0.1959D-06 -0.1645D-06
      H   -0.1910D-05 -0.2553D-07  0.1655D-08  0.4265D-08 -0.1908D-05
     HCO2 -0.6088D-06  0.9066D-08  0.3261D-07  0.4058D-07 -0.5762D-06
    H2CO2  0.6173D-06 -0.5515D-09  0.1742D-09  0.6063D-10  0.6175D-06
     GLUC  0.6373D-07  0.6373D-07 -0.6369D-07  0.2784D-08  0.4407D-10

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.2475D-05  0.9830D-07  0.2274D-05  0.6373D-07  0.7326D-07                                      0.7183D-06 -0.6200D-06
      K    0.0000D+00  0.3447D-06                                                              0.3447D-06                        
      CL   0.9647D-06  0.9647D-06                                      0.6088D-06  0.3559D-06  0.3447D-06              0.6200D-06
     HCO3 -0.3559D-06  0.9149D-06                                                 -0.3559D-06              0.2155D-05 -0.1240D-05
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.7326D-07                                                            
    H2PO4  0.7326D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
