1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.2285D-04  0.2285D-04  0.2554D-04  0.4847D-04  0.4839D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.6875D-05  0.6875D-05  0.5369D-06  0.7205D-05  0.7412D-05
      K   -0.3243D-06 -0.3243D-06  0.1248D-06 -0.1877D-06 -0.1994D-06
      CL   0.1102D-05  0.1102D-05  0.2640D-05  0.3731D-05  0.3742D-05
     HCO3 -0.4975D-06  0.3169D-05 -0.7083D-07  0.3198D-05 -0.5683D-06
    H2CO3  0.1147D-08 -0.9948D-10  0.1420D-10  0.1757D-09  0.1161D-08
     CO2   0.3858D-05  0.1922D-06  0.3929D-08  0.7143D-07  0.3862D-05
     HPO4 -0.1246D-07  0.3045D-07  0.5739D-08  0.1133D-06 -0.6723D-08
    H2PO4  0.1135D-06  0.7058D-07  0.3372D-08 -0.5897D-08  0.1169D-06
     UREA  0.8241D-08  0.8241D-08  0.4708D-07  0.5541D-07  0.5532D-07
     NH3  -0.2188D-07  0.3423D-07  0.1373D-09 -0.5529D-09 -0.2174D-07
     NH4  -0.1799D-06 -0.1493D-06  0.1428D-07 -0.9676D-07 -0.1657D-06
      H   -0.4350D-05 -0.3621D-07  0.2132D-10 -0.2275D-08 -0.4350D-05
     HCO2 -0.6284D-06  0.6240D-08  0.4902D-07 -0.1875D-06 -0.5794D-06
    H2CO2  0.3793D-06 -0.2554D-06  0.2399D-10 -0.1323D-09  0.3793D-06
     GLUC  0.2553D-05  0.2553D-05 -0.5542D-07  0.2397D-05  0.2498D-05

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.6010D-05  0.6489D-06  0.4209D-05  0.1724D-05  0.7665D-07                                      0.8427D-06 -0.1938D-06
      K    0.0000D+00  0.5503D-06                                                              0.5503D-06                        
      CL   0.7441D-06  0.7441D-06                                      0.4245D-06  0.3196D-06  0.5503D-06              0.1938D-06
     HCO3 -0.3196D-06  0.2141D-05                                                 -0.3196D-06              0.2528D-05 -0.3876D-06
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.7665D-07                                                            
    H2PO4  0.7665D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.1839D-06  0.0000D+00 -0.1839D-06                                                                                    
      H   -0.4025D-05  0.0000D+00 -0.4025D-05                                                                                    
     HCO2 -0.4245D-06  0.0000D+00                                     -0.4245D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.1724D-05  0.0000D+00              0.1724D-05                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.5976D-05
      K    0.0000D+00 -0.3846D-05
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.1397D-06
      H   -0.3634D-06  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.8654D-06  0.2504D-06
      K   -0.3243D-06  0.2972D-05
      CL   0.3575D-06  0.3575D-06
     HCO3 -0.1778D-06  0.1029D-05
    H2CO3  0.1147D-08 -0.9948D-10
     CO2   0.3858D-05  0.1922D-06
     HPO4 -0.1246D-07  0.3045D-07
    H2PO4  0.3683D-07  0.7058D-07
     UREA  0.8241D-08  0.8241D-08
     NH3  -0.2188D-07  0.3423D-07
     NH4   0.3931D-08 -0.9615D-08
      H    0.3845D-07 -0.3621D-07
     HCO2 -0.2040D-06  0.6240D-08
    H2CO2  0.3793D-06 -0.2554D-06
     GLUC  0.8286D-06  0.2553D-05
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.1076D+04  0.1076D+04  0.1203D+04  0.2283D+04  0.2279D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.3238D+03  0.3238D+03  0.2529D+02  0.3394D+03  0.3491D+03
      K   -0.1527D+02 -0.1527D+02  0.5880D+01 -0.8840D+01 -0.9393D+01
      CL   0.5189D+02  0.5189D+02  0.1243D+03  0.1757D+03  0.1762D+03
     HCO3 -0.2343D+02  0.1493D+03 -0.3336D+01  0.1506D+03 -0.2677D+02
    H2CO3  0.5402D-01 -0.4685D-02  0.6689D-03  0.8276D-02  0.5469D-01
     CO2   0.1817D+03  0.9054D+01  0.1851D+00  0.3364D+01  0.1819D+03
     HPO4 -0.5870D+00  0.1434D+01  0.2703D+00  0.5337D+01 -0.3167D+00
    H2PO4  0.5345D+01  0.3324D+01  0.1588D+00 -0.2778D+00  0.5504D+01
     UREA  0.3881D+00  0.3881D+00  0.2217D+01  0.2610D+01  0.2606D+01
     NH3  -0.1030D+01  0.1612D+01  0.6468D-02 -0.2604D-01 -0.1024D+01
     NH4  -0.8475D+01 -0.7033D+01  0.6726D+00 -0.4557D+01 -0.7802D+01
      H   -0.2049D+03 -0.1705D+01  0.1004D-02 -0.1071D+00 -0.2049D+03
     HCO2 -0.2960D+02  0.2939D+00  0.2309D+01 -0.8829D+01 -0.2729D+02
    H2CO2  0.1786D+02 -0.1203D+02  0.1130D-02 -0.6231D-02  0.1786D+02
     GLUC  0.1202D+03  0.1202D+03 -0.2610D+01  0.1129D+03  0.1176D+03

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.2831D+03  0.3057D+02  0.1982D+03  0.8122D+02  0.3610D+01                                      0.3969D+02 -0.9128D+01
      K    0.0000D+00  0.2592D+02                                                              0.2592D+02                        
      CL   0.3505D+02  0.3505D+02                                      0.1999D+02  0.1505D+02  0.2592D+02              0.9128D+01
     HCO3 -0.1505D+02  0.1008D+03                                                 -0.1505D+02              0.1191D+03 -0.1826D+02
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.3610D+01                                                            
    H2PO4  0.3610D+01  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.8660D+01  0.0000D+00 -0.8660D+01                                                                                    
      H   -0.1896D+03  0.0000D+00 -0.1896D+03                                                                                    
     HCO2 -0.1999D+02  0.0000D+00                                     -0.1999D+02                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.8122D+02  0.0000D+00              0.8122D+02                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.2815D+03
      K    0.0000D+00 -0.1812D+03
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.6580D+01
      H   -0.1712D+02  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.4076D+02  0.1179D+02
      K   -0.1527D+02  0.1400D+03
      CL   0.1684D+02  0.1684D+02
     HCO3 -0.8376D+01  0.4845D+02
    H2CO3  0.5402D-01 -0.4685D-02
     CO2   0.1817D+03  0.9054D+01
     HPO4 -0.5870D+00  0.1434D+01
    H2PO4  0.1735D+01  0.3324D+01
     UREA  0.3881D+00  0.3881D+00
     NH3  -0.1030D+01  0.1612D+01
     NH4   0.1851D+00 -0.4529D+00
      H    0.1811D+01 -0.1705D+01
     HCO2 -0.9606D+01  0.2939D+00
    H2CO2  0.1786D+02 -0.1203D+02
     GLUC  0.3903D+02  0.1202D+03
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.1029D-04  0.1029D-04  0.4125D-04  0.5112D-04  0.5155D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.4194D-05  0.4194D-05  0.3243D-05  0.7321D-05  0.7437D-05
      K   -0.1562D-06 -0.1562D-06  0.4564D-06  0.3042D-06  0.3002D-06
      CL   0.1395D-05  0.1395D-05  0.4488D-05  0.5847D-05  0.5883D-05
     HCO3 -0.5592D-06  0.2369D-05 -0.7901D-06  0.1530D-05 -0.1349D-05
    H2CO3  0.5633D-09 -0.1898D-09  0.1942D-10  0.1943D-09  0.5827D-09
     CO2   0.2941D-05  0.1287D-07  0.6272D-08  0.7565D-07  0.2947D-05
     HPO4 -0.1737D-07  0.4150D-07 -0.9174D-08  0.1099D-06 -0.2655D-07
    H2PO4  0.1525D-06  0.9367D-07  0.1234D-07  0.2473D-07  0.1649D-06
     UREA  0.2675D-07  0.2675D-07  0.1670D-06  0.1931D-06  0.1938D-06
     NH3   0.2498D-07  0.3496D-07  0.9592D-09  0.1691D-08  0.2594D-07
     NH4  -0.1787D-06 -0.1158D-06  0.1785D-06  0.9866D-07 -0.1707D-09
      H   -0.3843D-05 -0.3842D-07  0.2032D-09 -0.4695D-09 -0.3842D-05
     HCO2 -0.8609D-06  0.1865D-07  0.1101D-06  0.9989D-07 -0.7508D-06
    H2CO2  0.8508D-06 -0.2874D-07  0.1295D-09  0.2906D-10  0.8509D-06
     GLUC  0.7451D-07  0.7451D-07 -0.7294D-07  0.2626D-08  0.1571D-08

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.4149D-05  0.4281D-06  0.3967D-05  0.5994D-07  0.1227D-06                                      0.1050D-05 -0.6215D-06
      K    0.0000D+00  0.5003D-06                                                              0.5003D-06                        
      CL   0.1122D-05  0.1122D-05                                      0.6925D-06  0.4294D-06  0.5003D-06              0.6215D-06
     HCO3 -0.4294D-06  0.1906D-05                                                 -0.4294D-06              0.3149D-05 -0.1243D-05
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.1227D-06                                                            
    H2PO4  0.1227D-06  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
