1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.4150D-06  0.4150D-06  0.4050D-04  0.4079D-04  0.4092D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.1653D-05  0.1653D-05  0.3245D-05  0.4857D-05  0.4898D-05
      K   -0.7602D-07 -0.7602D-07  0.3912D-06  0.3170D-06  0.3152D-06
      CL   0.3748D-06  0.3748D-06  0.5235D-05  0.5597D-05  0.5610D-05
     HCO3 -0.1477D-06  0.5284D-06 -0.9365D-06 -0.4189D-06 -0.1084D-05
    H2CO3  0.1897D-09 -0.1463D-10  0.1984D-10  0.1362D-09  0.2096D-09
     CO2   0.7010D-06  0.2516D-07  0.6524D-08  0.5555D-07  0.7075D-06
     HPO4 -0.3323D-08  0.7928D-08 -0.9621D-08  0.1175D-07 -0.1294D-07
    H2PO4  0.3281D-07  0.2156D-07  0.1950D-07  0.2681D-07  0.5231D-07
     UREA  0.1278D-07  0.1278D-07  0.2545D-06  0.2669D-06  0.2672D-06
     NH3  -0.6103D-08  0.1193D-07  0.2977D-09  0.1180D-08 -0.5805D-08
     NH4  -0.4958D-07 -0.4661D-07  0.1566D-06  0.1219D-06  0.1070D-06
      H   -0.9306D-06 -0.9414D-08  0.3254D-09  0.1411D-08 -0.9303D-06
     HCO2 -0.2324D-06  0.4441D-08  0.6979D-07  0.8667D-07 -0.1626D-06
    H2CO2  0.2502D-06  0.1331D-07  0.1412D-09  0.5923D-10  0.2503D-06
     GLUC  0.3355D-06  0.3355D-06 -0.8045D-07  0.2459D-06  0.2551D-06

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.1653D-05  0.1221D-06  0.9492D-06  0.3355D-06  0.3281D-07                                      0.2841D-06 -0.1620D-06
      K    0.0000D+00  0.2129D-06                                                              0.2129D-06                        
      CL   0.3748D-06  0.3748D-06                                      0.2324D-06  0.1424D-06  0.2129D-06              0.1620D-06
     HCO3 -0.1424D-06  0.5284D-06                                                 -0.1424D-06              0.8523D-06 -0.3239D-06
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.3281D-07                                                            
    H2PO4  0.3281D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.5217D-07  0.0000D+00 -0.5217D-07                                                                                    
      H   -0.8970D-06  0.0000D+00 -0.8970D-06                                                                                    
     HCO2 -0.2324D-06  0.0000D+00                                     -0.2324D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.3355D-06  0.0000D+00              0.3355D-06                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.1545D-05
      K    0.0000D+00 -0.9868D-06
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.4378D-07
      H   -0.5397D-07  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.0000D+00 -0.1415D-07
      K   -0.7602D-07  0.6979D-06
      CL   0.0000D+00  0.0000D+00
     HCO3 -0.5257D-08  0.0000D+00
    H2CO3  0.1897D-09 -0.1463D-10
     CO2   0.7010D-06  0.2516D-07
     HPO4 -0.3323D-08  0.7928D-08
    H2PO4  0.0000D+00  0.2156D-07
     UREA  0.1278D-07  0.1278D-07
     NH3  -0.6103D-08  0.1193D-07
     NH4   0.2589D-08 -0.2832D-08
      H    0.2038D-07 -0.9414D-08
     HCO2  0.0000D+00  0.4441D-08
    H2CO2  0.2502D-06  0.1331D-07
     GLUC  0.0000D+00  0.3355D-06
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.1955D+02  0.1955D+02  0.1908D+04  0.1921D+04  0.1927D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.7786D+02  0.7786D+02  0.1528D+03  0.2288D+03  0.2307D+03
      K   -0.3581D+01 -0.3581D+01  0.1843D+02  0.1493D+02  0.1484D+02
      CL   0.1765D+02  0.1765D+02  0.2466D+03  0.2636D+03  0.2642D+03
     HCO3 -0.6955D+01  0.2489D+02 -0.4411D+02 -0.1973D+02 -0.5106D+02
    H2CO3  0.8937D-02 -0.6890D-03  0.9345D-03  0.6414D-02  0.9871D-02
     CO2   0.3302D+02  0.1185D+01  0.3073D+00  0.2616D+01  0.3333D+02
     HPO4 -0.1565D+00  0.3734D+00 -0.4532D+00  0.5535D+00 -0.6097D+00
    H2PO4  0.1545D+01  0.1015D+01  0.9184D+00  0.1263D+01  0.2464D+01
     UREA  0.6020D+00  0.6020D+00  0.1199D+02  0.1257D+02  0.1259D+02
     NH3  -0.2874D+00  0.5619D+00  0.1402D-01  0.5558D-01 -0.2734D+00
     NH4  -0.2335D+01 -0.2195D+01  0.7374D+01  0.5739D+01  0.5039D+01
      H   -0.4383D+02 -0.4434D+00  0.1533D-01  0.6647D-01 -0.4382D+02
     HCO2 -0.1095D+02  0.2092D+00  0.3287D+01  0.4082D+01 -0.7660D+01
    H2CO2  0.1178D+02  0.6267D+00  0.6651D-02  0.2790D-02  0.1179D+02
     GLUC  0.1580D+02  0.1580D+02 -0.3789D+01  0.1158D+02  0.1201D+02

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.7786D+02  0.5753D+01  0.4471D+02  0.1580D+02  0.1545D+01                                      0.1338D+02 -0.7628D+01
      K    0.0000D+00  0.1003D+02                                                              0.1003D+02                        
      CL   0.1765D+02  0.1765D+02                                      0.1095D+02  0.6708D+01  0.1003D+02              0.7628D+01
     HCO3 -0.6708D+01  0.2489D+02                                                 -0.6708D+01              0.4014D+02 -0.1526D+02
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.1545D+01                                                            
    H2PO4  0.1545D+01  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.2457D+01  0.0000D+00 -0.2457D+01                                                                                    
      H   -0.4225D+02  0.0000D+00 -0.4225D+02                                                                                    
     HCO2 -0.1095D+02  0.0000D+00                                     -0.1095D+02                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.1580D+02  0.0000D+00              0.1580D+02                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.7277D+02
      K    0.0000D+00 -0.4648D+02
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.2062D+01
      H   -0.2542D+01  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA  -0.1421D-13 -0.6665D+00
      K   -0.3581D+01  0.3287D+02
      CL   0.0000D+00  0.1110D-15
     HCO3 -0.2476D+00  0.1144D-13
    H2CO3  0.8937D-02 -0.6890D-03
     CO2   0.3302D+02  0.1185D+01
     HPO4 -0.1565D+00  0.3734D+00
    H2PO4  0.6661D-15  0.1015D+01
     UREA  0.6020D+00  0.6020D+00
     NH3  -0.2874D+00  0.5619D+00
     NH4   0.1220D+00 -0.1334D+00
      H    0.9600D+00 -0.4434D+00
     HCO2  0.0000D+00  0.2092D+00
    H2CO2  0.1178D+02  0.6267D+00
     GLUC  0.1776D-14  0.1580D+02
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.2568D-04  0.2568D-04  0.7593D-04  0.9948D-04  0.1016D-03


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.1467D-05  0.1467D-05  0.4034D-05  0.5468D-05  0.5501D-05
      K   -0.5375D-07 -0.5375D-07  0.3741D-06  0.3225D-06  0.3203D-06
      CL   0.3693D-06  0.3693D-06  0.5001D-05  0.5355D-05  0.5370D-05
     HCO3 -0.1449D-06  0.7539D-06 -0.6568D-06  0.8660D-07 -0.8017D-06
    H2CO3  0.2211D-08 -0.4459D-11  0.5970D-10  0.4129D-09  0.2271D-08
     CO2   0.1036D-05  0.1394D-06  0.1215D-07  0.1499D-06  0.1048D-05
     HPO4 -0.4385D-08  0.1034D-07  0.1069D-08  0.8529D-08 -0.3316D-08
    H2PO4  0.4190D-07  0.2717D-07  0.2153D-07  0.5057D-07  0.6343D-07
     UREA  0.1944D-07  0.1944D-07  0.3076D-06  0.3261D-06  0.3271D-06
     NH3  -0.3558D-07 -0.3614D-07 -0.3026D-08 -0.8069D-08 -0.3861D-07
     NH4  -0.1626D-06 -0.1411D-06 -0.2177D-07 -0.1884D-06 -0.1844D-06
      H   -0.1140D-05 -0.1205D-07  0.2602D-09  0.2700D-08 -0.1139D-05
     HCO2 -0.2307D-06  0.4838D-08  0.1034D-06  0.1004D-06 -0.1273D-06
    H2CO2  0.2280D-06 -0.7496D-08  0.1257D-09  0.7550D-10  0.2282D-06
     GLUC  0.6783D-07  0.6783D-07 -0.6776D-07 -0.9349D-10  0.6701D-10

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.1467D-05  0.1885D-06  0.1290D-05  0.6783D-07  0.4190D-07                                      0.3768D-06 -0.1883D-06
      K    0.0000D+00  0.1810D-06                                                              0.1810D-06                        
      CL   0.3693D-06  0.3693D-06                                      0.2307D-06  0.1386D-06  0.1810D-06              0.1883D-06
     HCO3 -0.1386D-06  0.7539D-06                                                 -0.1386D-06              0.1130D-05 -0.3766D-06
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.4190D-07                                                            
    H2PO4  0.4190D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
