1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.1034D-03  0.1034D-03  0.4859D-04  0.1531D-03  0.1520D-03


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.2255D-04  0.2255D-04 -0.1034D-05  0.2070D-04  0.2151D-04
      K   -0.1092D-05 -0.1092D-05  0.2756D-06 -0.7492D-06 -0.8162D-06
      CL   0.3945D-05  0.3945D-05  0.5544D-05  0.9568D-05  0.9489D-05
     HCO3 -0.1986D-05  0.1006D-04  0.4493D-08  0.9790D-05 -0.1982D-05
    H2CO3  0.7676D-08 -0.1836D-08  0.2609D-10  0.6111D-09  0.7702D-08
     CO2   0.1234D-04  0.3108D-06  0.7830D-08  0.2222D-06  0.1235D-04
     HPO4 -0.4809D-07  0.1212D-06  0.1490D-07  0.3848D-06 -0.3319D-07
    H2PO4  0.4322D-06  0.2628D-06  0.5470D-08  0.9331D-08  0.4377D-06
     UREA  0.5355D-07  0.5355D-07  0.9937D-07  0.1539D-06  0.1529D-06
     NH3  -0.4797D-07  0.1459D-06  0.3720D-09 -0.1851D-08 -0.4760D-07
     NH4  -0.5478D-06 -0.4398D-06  0.3069D-07 -0.2502D-06 -0.5172D-06
      H   -0.1429D-04 -0.1157D-06  0.3533D-10 -0.5506D-08 -0.1429D-04
     HCO2 -0.2050D-05  0.1688D-07  0.6253D-07 -0.3572D-06 -0.1987D-05
    H2CO2  0.1578D-05 -0.4892D-06  0.4645D-10 -0.2538D-09  0.1578D-05
     GLUC  0.8296D-05  0.8296D-05 -0.1646D-06  0.7583D-05  0.8131D-05

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.1497D-04  0.3879D-06  0.1382D-04  0.1092D-05  0.5688D-07                                      0.5478D-06 -0.1599D-06
      K    0.0000D+00  0.3594D-06                                                              0.3594D-06                        
      CL   0.5192D-06  0.5192D-06                                      0.2698D-06  0.2495D-06  0.3594D-06              0.1599D-06
     HCO3 -0.2495D-06  0.1324D-05                                                 -0.2495D-06              0.1643D-05 -0.3198D-06
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.5688D-07                                                            
    H2PO4  0.5688D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.5620D-06  0.0000D+00 -0.5620D-06                                                                                    
      H   -0.1326D-04  0.0000D+00 -0.1326D-04                                                                                    
     HCO2 -0.2698D-06  0.0000D+00                                     -0.2698D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.1092D-05  0.0000D+00              0.1092D-05                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.1982D-04
      K    0.0000D+00 -0.1280D-04
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.4136D-06
      H   -0.1169D-05  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.7579D-05  0.2339D-05
      K   -0.1092D-05  0.1135D-04
      CL   0.3426D-05  0.3426D-05
     HCO3 -0.1737D-05  0.8734D-05
    H2CO3  0.7676D-08 -0.1836D-08
     CO2   0.1234D-04  0.3108D-06
     HPO4 -0.4809D-07  0.1212D-06
    H2PO4  0.3753D-06  0.2628D-06
     UREA  0.5355D-07  0.5355D-07
     NH3  -0.4797D-07  0.1459D-06
     NH4   0.1414D-07 -0.2616D-07
      H    0.1367D-06 -0.1157D-06
     HCO2 -0.1780D-05  0.1688D-07
    H2CO2  0.1578D-05 -0.4892D-06
     GLUC  0.7204D-05  0.8296D-05
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.4872D+04  0.4872D+04  0.2289D+04  0.7213D+04  0.7161D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.1062D+04  0.1062D+04 -0.4869D+02  0.9750D+03  0.1013D+04
      K   -0.5143D+02 -0.5143D+02  0.1298D+02 -0.3529D+02 -0.3844D+02
      CL   0.1858D+03  0.1858D+03  0.2611D+03  0.4507D+03  0.4469D+03
     HCO3 -0.9356D+02  0.4737D+03  0.2116D+00  0.4611D+03 -0.9335D+02
    H2CO3  0.3615D+00 -0.8649D-01  0.1229D-02  0.2878D-01  0.3628D+00
     CO2   0.5814D+03  0.1464D+02  0.3688D+00  0.1047D+02  0.5818D+03
     HPO4 -0.2265D+01  0.5711D+01  0.7018D+00  0.1812D+02 -0.1563D+01
    H2PO4  0.2036D+02  0.1238D+02  0.2577D+00  0.4395D+00  0.2061D+02
     UREA  0.2522D+01  0.2522D+01  0.4680D+01  0.7250D+01  0.7202D+01
     NH3  -0.2260D+01  0.6874D+01  0.1752D-01 -0.8719D-01 -0.2242D+01
     NH4  -0.2580D+02 -0.2071D+02  0.1446D+01 -0.1178D+02 -0.2436D+02
      H   -0.6729D+03 -0.5448D+01  0.1664D-02 -0.2593D+00 -0.6729D+03
     HCO2 -0.9655D+02  0.7950D+00  0.2945D+01 -0.1682D+02 -0.9360D+02
    H2CO2  0.7430D+02 -0.2304D+02  0.2188D-02 -0.1195D-01  0.7430D+02
     GLUC  0.3907D+03  0.3907D+03 -0.7754D+01  0.3572D+03  0.3830D+03

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.7049D+03  0.1827D+02  0.6508D+03  0.5143D+02  0.2679D+01                                      0.2580D+02 -0.7531D+01
      K    0.0000D+00  0.1693D+02                                                              0.1693D+02                        
      CL   0.2446D+02  0.2446D+02                                      0.1271D+02  0.1175D+02  0.1693D+02              0.7531D+01
     HCO3 -0.1175D+02  0.6235D+02                                                 -0.1175D+02              0.7741D+02 -0.1506D+02
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.2679D+01                                                            
    H2PO4  0.2679D+01  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.2647D+02  0.0000D+00 -0.2647D+02                                                                                    
      H   -0.6243D+03  0.0000D+00 -0.6243D+03                                                                                    
     HCO2 -0.1271D+02  0.0000D+00                                     -0.1271D+02                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.5143D+02  0.0000D+00              0.5143D+02                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.9334D+03
      K    0.0000D+00 -0.6031D+03
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.1948D+02
      H   -0.5504D+02  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.3570D+03  0.1102D+03
      K   -0.5143D+02  0.5348D+03
      CL   0.1614D+03  0.1614D+03
     HCO3 -0.8181D+02  0.4113D+03
    H2CO3  0.3615D+00 -0.8649D-01
     CO2   0.5814D+03  0.1464D+02
     HPO4 -0.2265D+01  0.5711D+01
    H2PO4  0.1768D+02  0.1238D+02
     UREA  0.2522D+01  0.2522D+01
     NH3  -0.2260D+01  0.6874D+01
     NH4   0.6659D+00 -0.1232D+01
      H    0.6440D+01 -0.5448D+01
     HCO2 -0.8384D+02  0.7950D+00
    H2CO2  0.7430D+02 -0.2304D+02
     GLUC  0.3393D+03  0.3907D+03
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.2107D-04  0.2107D-04  0.6105D-04  0.8098D-04  0.8211D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.7199D-05  0.7199D-05  0.4341D-05  0.1135D-04  0.1154D-04
      K   -0.2462D-06 -0.2462D-06  0.8430D-06  0.6012D-06  0.5968D-06
      CL   0.3689D-05  0.3689D-05  0.6405D-05  0.9986D-05  0.1009D-04
     HCO3 -0.1401D-05  0.2384D-05 -0.6557D-06  0.1549D-05 -0.2056D-05
    H2CO3  0.1633D-08 -0.7388D-09  0.2834D-10  0.3178D-09  0.1662D-08
     CO2   0.3628D-05 -0.1541D-06  0.9458D-08  0.1162D-06  0.3637D-05
     HPO4 -0.3429D-07  0.8095D-07 -0.1909D-07  0.1964D-06 -0.5338D-07
    H2PO4  0.3118D-06  0.1965D-06  0.9520D-08  0.6395D-07  0.3213D-06
     UREA  0.8411D-07  0.8411D-07  0.2680D-06  0.3497D-06  0.3521D-06
     NH3  -0.5817D-08  0.6805D-07  0.5596D-09  0.3478D-08 -0.5258D-08
     NH4  -0.3307D-06 -0.2586D-06  0.4335D-06  0.2434D-06  0.1028D-06
      H   -0.6288D-05 -0.7842D-07  0.7489D-09  0.2843D-09 -0.6287D-05
     HCO2 -0.2337D-05  0.4439D-07  0.3744D-07  0.2155D-06 -0.2300D-05
    H2CO2  0.2525D-05  0.1433D-06  0.2076D-09  0.9280D-10  0.2525D-05
     GLUC  0.7170D-07  0.7170D-07 -0.6963D-07  0.9516D-08  0.2073D-08

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.6920D-05 -0.6460D-08  0.6816D-05  0.1952D-07  0.8488D-07                                      0.6619D-06 -0.6684D-06
      K    0.0000D+00  0.3360D-06                                                              0.3360D-06                        
      CL   0.1004D-05  0.1004D-05                                      0.6364D-06  0.3681D-06  0.3360D-06              0.6684D-06
     HCO3 -0.3681D-06  0.6490D-06                                                 -0.3681D-06              0.1986D-05 -0.1337D-05
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.8488D-07                                                            
    H2PO4  0.8488D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
