1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
          -0.2207D-06 -0.2207D-06  0.5341D-04  0.5321D-04  0.5319D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.3028D-05  0.3028D-05  0.4515D-05  0.7473D-05  0.7543D-05
      K   -0.1527D-06 -0.1527D-06  0.6735D-06  0.5241D-06  0.5209D-06
      CL   0.9211D-06  0.9211D-06  0.8048D-05  0.8934D-05  0.8969D-05
     HCO3 -0.3549D-06  0.5235D-06 -0.1253D-05 -0.7268D-06 -0.1608D-05
    H2CO3  0.2333D-09 -0.4089D-10  0.2460D-10  0.2006D-09  0.2579D-09
     CO2   0.9246D-06  0.4643D-07  0.8313D-08  0.7749D-07  0.9329D-06
     HPO4 -0.5174D-08  0.1237D-07 -0.4410D-07 -0.1932D-07 -0.4928D-07
    H2PO4  0.5388D-07  0.3633D-07  0.7748D-08  0.3036D-07  0.6163D-07
     UREA  0.3296D-07  0.3296D-07  0.3383D-06  0.3703D-06  0.3713D-06
     NH3  -0.3037D-07  0.9672D-08 -0.5130D-09  0.2010D-08 -0.3088D-07
     NH4  -0.1006D-06 -0.9862D-07  0.2966D-06  0.2072D-06  0.1960D-06
      H   -0.1497D-05 -0.1923D-07  0.1480D-08  0.2250D-08 -0.1496D-05
     HCO2 -0.5761D-06  0.7886D-08  0.1612D-07  0.4552D-07 -0.5600D-06
    H2CO2  0.6069D-06  0.2290D-07  0.1705D-09  0.4988D-10  0.6071D-06
     GLUC  0.6854D-06  0.6854D-06 -0.8728D-07  0.5774D-06  0.5981D-06

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.3028D-05  0.3569D-08  0.1603D-05  0.6854D-06  0.5388D-07                                      0.5164D-06 -0.5128D-06
      K    0.0000D+00  0.4083D-06                                                              0.4083D-06                        
      CL   0.9211D-06  0.9211D-06                                      0.5761D-06  0.3450D-06  0.4083D-06              0.5128D-06
     HCO3 -0.3450D-06  0.5235D-06                                                 -0.3450D-06              0.1549D-05 -0.1026D-05
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.5388D-07                                                            
    H2PO4  0.5388D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.1059D-06  0.0000D+00 -0.1059D-06                                                                                    
      H   -0.1497D-05  0.0000D+00 -0.1497D-05                                                                                    
     HCO2 -0.5761D-06  0.0000D+00                                     -0.5761D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.6854D-06  0.0000D+00              0.6854D-06                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.3053D-05
      K    0.0000D+00 -0.1944D-05
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.9228D-07
      H   -0.7093D-07  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.0000D+00 -0.2854D-07
      K   -0.1527D-06  0.1383D-05
      CL   0.0000D+00  0.0000D+00
     HCO3 -0.9950D-08  0.0000D+00
    H2CO3  0.2333D-09 -0.4089D-10
     CO2   0.9246D-06  0.4643D-07
     HPO4 -0.5174D-08  0.1237D-07
    H2PO4  0.0000D+00  0.3633D-07
     UREA  0.3296D-07  0.3296D-07
     NH3  -0.3037D-07  0.9672D-08
     NH4   0.5304D-08 -0.6347D-08
      H    0.7094D-07 -0.1923D-07
     HCO2  0.0000D+00  0.7886D-08
    H2CO2  0.6069D-06  0.2290D-07
     GLUC  0.0000D+00  0.6854D-06
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
          -0.1040D+02 -0.1040D+02  0.2516D+04  0.2506D+04  0.2505D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.1426D+03  0.1426D+03  0.2127D+03  0.3520D+03  0.3553D+03
      K   -0.7190D+01 -0.7190D+01  0.3172D+02  0.2468D+02  0.2453D+02
      CL   0.4338D+02  0.4338D+02  0.3791D+03  0.4208D+03  0.4224D+03
     HCO3 -0.1672D+02  0.2466D+02 -0.5902D+02 -0.3423D+02 -0.7574D+02
    H2CO3  0.1099D-01 -0.1926D-02  0.1159D-02  0.9446D-02  0.1215D-01
     CO2   0.4355D+02  0.2187D+01  0.3916D+00  0.3650D+01  0.4394D+02
     HPO4 -0.2437D+00  0.5828D+00 -0.2077D+01 -0.9101D+00 -0.2321D+01
    H2PO4  0.2538D+01  0.1711D+01  0.3649D+00  0.1430D+01  0.2903D+01
     UREA  0.1552D+01  0.1552D+01  0.1593D+02  0.1744D+02  0.1749D+02
     NH3  -0.1430D+01  0.4555D+00 -0.2416D-01  0.9469D-01 -0.1454D+01
     NH4  -0.4738D+01 -0.4645D+01  0.1397D+02  0.9758D+01  0.9231D+01
      H   -0.7052D+02 -0.9056D+00  0.6969D-01  0.1060D+00 -0.7045D+02
     HCO2 -0.2713D+02  0.3714D+00  0.7594D+00  0.2144D+01 -0.2638D+02
    H2CO2  0.2858D+02  0.1079D+01  0.8031D-02  0.2349D-02  0.2859D+02
     GLUC  0.3228D+02  0.3228D+02 -0.4111D+01  0.2720D+02  0.2817D+02

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.1426D+03  0.1681D+00  0.7551D+02  0.3228D+02  0.2538D+01                                      0.2432D+02 -0.2415D+02
      K    0.0000D+00  0.1923D+02                                                              0.1923D+02                        
      CL   0.4338D+02  0.4338D+02                                      0.2713D+02  0.1625D+02  0.1923D+02              0.2415D+02
     HCO3 -0.1625D+02  0.2466D+02                                                 -0.1625D+02              0.7296D+02 -0.4831D+02
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.2538D+01                                                            
    H2PO4  0.2538D+01  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.4987D+01  0.0000D+00 -0.4987D+01                                                                                    
      H   -0.7052D+02  0.0000D+00 -0.7052D+02                                                                                    
     HCO2 -0.2713D+02  0.0000D+00                                     -0.2713D+02                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.3228D+02  0.0000D+00              0.3228D+02                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.1438D+03
      K    0.0000D+00 -0.9156D+02
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.4346D+01
      H   -0.3341D+01  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.2842D-13 -0.1344D+01
      K   -0.7190D+01  0.6514D+02
      CL   0.7105D-14  0.5818D-13
     HCO3 -0.4686D+00  0.6528D-13
    H2CO3  0.1099D-01 -0.1926D-02
     CO2   0.4355D+02  0.2187D+01
     HPO4 -0.2437D+00  0.5828D+00
    H2PO4  0.0000D+00  0.1711D+01
     UREA  0.1552D+01  0.1552D+01
     NH3  -0.1430D+01  0.4555D+00
     NH4   0.2498D+00 -0.2989D+00
      H    0.3341D+01 -0.9056D+00
     HCO2  0.0000D+00  0.3714D+00
    H2CO2  0.2858D+02  0.1079D+01
     GLUC  0.0000D+00  0.3228D+02
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.4971D-04  0.4971D-04  0.8814D-04  0.1329D-03  0.1378D-03


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.2573D-05  0.2573D-05  0.5673D-05  0.8195D-05  0.8246D-05
      K   -0.9948D-07 -0.9948D-07  0.5771D-06  0.4819D-06  0.4776D-06
      CL   0.9152D-06  0.9152D-06  0.7436D-05  0.8312D-05  0.8351D-05
     HCO3 -0.3501D-06  0.1082D-05 -0.1052D-05 -0.7252D-08 -0.1402D-05
    H2CO3  0.6326D-08 -0.8056D-10  0.7615D-10  0.5429D-09  0.6402D-08
     CO2   0.1523D-05  0.9739D-07  0.1371D-07  0.1938D-06  0.1537D-05
     HPO4 -0.7553D-08  0.1774D-07 -0.4136D-07 -0.2479D-07 -0.4891D-07
    H2PO4  0.7387D-07  0.4858D-07  0.8996D-08  0.5696D-07  0.8287D-07
     UREA  0.4744D-07  0.4744D-07  0.4002D-06  0.4452D-06  0.4476D-06
     NH3  -0.9003D-07 -0.8721D-07 -0.3914D-08 -0.1159D-07 -0.9394D-07
     NH4  -0.2986D-06 -0.2594D-06  0.9750D-08 -0.3178D-06 -0.2888D-06
      H   -0.2030D-05 -0.2528D-07  0.1309D-08  0.3774D-08 -0.2029D-05
     HCO2 -0.5775D-06  0.9485D-08  0.4882D-07  0.5974D-07 -0.5287D-06
    H2CO2  0.5892D-06  0.2171D-08  0.1667D-09  0.6410D-10  0.5893D-06
     GLUC  0.6420D-07  0.6420D-07 -0.6416D-07  0.2640D-08  0.4215D-10

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.2573D-05  0.1729D-06  0.2370D-05  0.6420D-07  0.7387D-07                                      0.7362D-06 -0.5633D-06
      K    0.0000D+00  0.3520D-06                                                              0.3520D-06                        
      CL   0.9152D-06  0.9152D-06                                      0.5775D-06  0.3377D-06  0.3520D-06              0.5633D-06
     HCO3 -0.3377D-06  0.1082D-05                                                 -0.3377D-06              0.2208D-05 -0.1127D-05
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.7387D-07                                                            
    H2PO4  0.7387D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
