1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.6659D-06  0.6659D-06  0.2691D-04  0.2755D-04  0.2758D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.2084D-05  0.2084D-05  0.1680D-05  0.3711D-05  0.3765D-05
      K   -0.1057D-06 -0.1057D-06  0.2285D-06  0.1257D-06  0.1228D-06
      CL   0.2622D-06  0.2622D-06  0.3614D-05  0.3868D-05  0.3876D-05
     HCO3 -0.1064D-06  0.5065D-06 -0.6000D-06 -0.8882D-07 -0.7065D-06
    H2CO3  0.1399D-09 -0.8717D-11  0.1337D-10  0.8000D-10  0.1532D-09
     CO2   0.6432D-06  0.3037D-07  0.4456D-08  0.3659D-07  0.6477D-06
     HPO4 -0.1706D-08  0.4116D-08  0.3141D-08  0.1697D-07  0.1435D-08
    H2PO4  0.1828D-07  0.1246D-07  0.1331D-07  0.1560D-07  0.3159D-07
     UREA  0.8597D-08  0.8597D-08  0.1662D-06  0.1745D-06  0.1747D-06
     NH3  -0.1128D-07  0.1731D-07  0.2236D-09  0.2892D-09 -0.1106D-07
     NH4  -0.4501D-07 -0.5260D-07  0.7158D-07  0.3716D-07  0.2657D-07
      H   -0.7953D-06 -0.6676D-08  0.1486D-09  0.6301D-09 -0.7951D-06
     HCO2 -0.1595D-06  0.2763D-08  0.7409D-07  0.7698D-07 -0.8536D-07
    H2CO2  0.1627D-06  0.5145D-09  0.8789D-10  0.4317D-10  0.1628D-06
     GLUC  0.6668D-06  0.6668D-06 -0.3814D-07  0.6094D-06  0.6286D-06

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.2084D-05  0.1588D-06  0.7326D-06  0.6668D-06  0.1828D-07                                      0.1890D-06 -0.3026D-07
      K    0.0000D+00  0.2320D-06                                                              0.2320D-06                        
      CL   0.2622D-06  0.2622D-06                                      0.1595D-06  0.1028D-06  0.2320D-06              0.3026D-07
     HCO3 -0.1028D-06  0.5065D-06                                                 -0.1028D-06              0.5671D-06 -0.6052D-07
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.1828D-07                                                            
    H2PO4  0.1828D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.4620D-07  0.0000D+00 -0.4620D-07                                                                                    
      H   -0.6864D-06  0.0000D+00 -0.6864D-06                                                                                    
     HCO2 -0.1595D-06  0.0000D+00                                     -0.1595D-06                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.6668D-06  0.0000D+00              0.6668D-06                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.1937D-05
      K    0.0000D+00 -0.1241D-05
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.5096D-07
      H   -0.1197D-06  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.0000D+00 -0.1141D-07
      K   -0.1057D-06  0.9034D-06
      CL   0.0000D+00  0.0000D+00
     HCO3 -0.3656D-08  0.0000D+00
    H2CO3  0.1399D-09 -0.8717D-11
     CO2   0.6432D-06  0.3037D-07
     HPO4 -0.1706D-08  0.4116D-08
    H2PO4  0.0000D+00  0.1246D-07
     UREA  0.8597D-08  0.8597D-08
     NH3  -0.1128D-07  0.1731D-07
     NH4   0.1188D-08 -0.1637D-08
      H    0.1083D-07 -0.6676D-08
     HCO2  0.0000D+00  0.2763D-08
    H2CO2  0.1627D-06  0.5145D-09
     GLUC  0.0000D+00  0.6668D-06
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.3136D+02  0.3136D+02  0.1267D+04  0.1297D+04  0.1299D+04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.9818D+02  0.9818D+02  0.7914D+02  0.1748D+03  0.1773D+03
      K   -0.4979D+01 -0.4979D+01  0.1076D+02  0.5919D+01  0.5784D+01
      CL   0.1235D+02  0.1235D+02  0.1702D+03  0.1822D+03  0.1826D+03
     HCO3 -0.5013D+01  0.2386D+02 -0.2826D+02 -0.4184D+01 -0.3327D+02
    H2CO3  0.6588D-02 -0.4106D-03  0.6299D-03  0.3768D-02  0.7218D-02
     CO2   0.3029D+02  0.1431D+01  0.2099D+00  0.1723D+01  0.3050D+02
     HPO4 -0.8035D-01  0.1938D+00  0.1479D+00  0.7995D+00  0.6758D-01
    H2PO4  0.8611D+00  0.5869D+00  0.6267D+00  0.7349D+00  0.1488D+01
     UREA  0.4049D+00  0.4049D+00  0.7826D+01  0.8219D+01  0.8231D+01
     NH3  -0.5314D+00  0.8152D+00  0.1053D-01  0.1362D-01 -0.5209D+00
     NH4  -0.2120D+01 -0.2477D+01  0.3372D+01  0.1750D+01  0.1252D+01
      H   -0.3746D+02 -0.3144D+00  0.7001D-02  0.2968D-01 -0.3745D+02
     HCO2 -0.7510D+01  0.1301D+00  0.3490D+01  0.3626D+01 -0.4021D+01
    H2CO2  0.7665D+01  0.2424D-01  0.4139D-02  0.2033D-02  0.7669D+01
     GLUC  0.3141D+02  0.3141D+02 -0.1796D+01  0.2870D+02  0.2961D+02

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.9818D+02  0.7478D+01  0.3451D+02  0.3141D+02  0.8611D+00                                      0.8903D+01 -0.1425D+01
      K    0.0000D+00  0.1093D+02                                                              0.1093D+02                        
      CL   0.1235D+02  0.1235D+02                                      0.7510D+01  0.4840D+01  0.1093D+02              0.1425D+01
     HCO3 -0.4840D+01  0.2386D+02                                                 -0.4840D+01              0.2671D+02 -0.2850D+01
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.8611D+00                                                            
    H2PO4  0.8611D+00  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
     NH4  -0.2176D+01  0.0000D+00 -0.2176D+01                                                                                    
      H   -0.3233D+02  0.0000D+00 -0.3233D+02                                                                                    
     HCO2 -0.7510D+01  0.0000D+00                                     -0.7510D+01                                                
    H2CO2  0.0000D+00  0.0000D+00                                                                                                
     GLUC  0.3141D+02  0.0000D+00              0.3141D+02                                                                        

              PIKMA       PIKSA
      NA   0.0000D+00  0.9124D+02
      K    0.0000D+00 -0.5845D+02
      CL   0.0000D+00  0.0000D+00
     HCO3  0.0000D+00  0.0000D+00
    H2CO3  0.0000D+00  0.0000D+00
     CO2   0.0000D+00  0.0000D+00
     HPO4  0.0000D+00  0.0000D+00
    H2PO4  0.0000D+00  0.0000D+00
     UREA  0.0000D+00  0.0000D+00
     NH3   0.0000D+00  0.0000D+00
     NH4   0.0000D+00 -0.2400D+01
      H   -0.5638D+01  0.0000D+00
     HCO2  0.0000D+00  0.0000D+00
    H2CO2  0.0000D+00  0.0000D+00
     GLUC  0.0000D+00  0.0000D+00

              GIKMA       GIKSA
      NA   0.0000D+00 -0.5374D+00
      K   -0.4979D+01  0.4255D+02
      CL   0.0000D+00 -0.1721D-14
     HCO3 -0.1722D+00  0.1443D-14
    H2CO3  0.6588D-02 -0.4106D-03
     CO2   0.3029D+02  0.1431D+01
     HPO4 -0.8035D-01  0.1938D+00
    H2PO4 -0.2220D-15  0.5869D+00
     UREA  0.4049D+00  0.4049D+00
     NH3  -0.5314D+00  0.8152D+00
     NH4   0.5597D-01 -0.7709D-01
      H    0.5103D+00 -0.3144D+00
     HCO2  0.0000D+00  0.1301D+00
    H2CO2  0.7665D+01  0.2424D-01
     GLUC -0.3553D-14  0.3141D+02
1
              FIVMA       FIVSA       FEVM        FEVS        FLUXV
           0.2857D-04  0.2857D-04  0.6725D-04  0.9361D-04  0.9583D-04


              FIKMA       FIKSA       FEKM        FEKS        FLUXS
      NA   0.2211D-05  0.2211D-05  0.2041D-05  0.4198D-05  0.4252D-05
      K   -0.9930D-07 -0.9930D-07  0.2568D-06  0.1610D-06  0.1575D-06
      CL   0.2180D-06  0.2180D-06  0.3474D-05  0.3682D-05  0.3692D-05
     HCO3 -0.8776D-07  0.5669D-06 -0.3109D-06  0.2852D-06 -0.3986D-06
    H2CO3  0.1682D-08  0.1176D-10  0.4963D-10  0.3790D-09  0.1732D-08
     CO2   0.8118D-06  0.1588D-06  0.1070D-07  0.1388D-06  0.8225D-06
     HPO4 -0.1450D-08  0.3429D-08  0.1432D-07  0.4052D-08  0.1287D-07
    H2PO4  0.1651D-07  0.1163D-07  0.1558D-07  0.4050D-07  0.3208D-07
     UREA  0.1486D-07  0.1486D-07  0.2105D-06  0.2245D-06  0.2253D-06
     NH3  -0.5751D-07  0.3714D-08 -0.2455D-08 -0.8262D-08 -0.5996D-07
     NH4  -0.1640D-06 -0.2043D-06 -0.7827D-07 -0.2669D-06 -0.2423D-06
      H   -0.8431D-06 -0.7265D-08  0.1187D-09  0.2207D-08 -0.8430D-06
     HCO2 -0.1335D-06  0.2565D-08  0.1067D-06  0.1104D-06 -0.2674D-07
    H2CO2  0.1377D-06  0.1666D-08  0.8027D-10  0.7334D-10  0.1378D-06
     GLUC  0.6513D-06  0.6513D-06 -0.2318D-07  0.6116D-06  0.6281D-06

              CIKMA       CIKSA       JNHE        JNAGLU      JNAPI       JCLF        JCLB        JKCL        JNAB        JNACLB
      NA   0.2211D-05  0.1853D-06  0.8920D-06  0.6513D-06  0.1651D-07                                      0.1963D-06 -0.1098D-07
      K    0.0000D+00  0.2070D-06                                                              0.2070D-06                        
      CL   0.2180D-06  0.2180D-06                                      0.1335D-06  0.8450D-07  0.2070D-06              0.1098D-07
     HCO3 -0.8450D-07  0.5669D-06                                                 -0.8450D-07              0.5889D-06 -0.2195D-07
    H2CO3  0.0000D+00  0.0000D+00                                                                                                
     CO2   0.0000D+00  0.0000D+00                                                                                                
     HPO4  0.0000D+00  0.0000D+00                          0.1651D-07                                                            
    H2PO4  0.1651D-07  0.0000D+00                                                                                                
     UREA  0.0000D+00  0.0000D+00                                                                                                
     NH3   0.0000D+00  0.0000D+00                                                                                                
