   .1000D+00   .5000D-07
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .070000000    .140000000    .140000000
    .024000000    .005000000    .005000000
    .071126433    .114084599    .114084599
    .014000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .005080901    .003000715    .003000715
    .002719099    .000899285    .000899285
    .060000000    .005000000    .005000000
    .000033448    .000014686    .000014686
    .004007334    .000985314    .000985314
   .1000D+00   .1000D-06
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .035000000    .140000000    .140000000
    .012000000    .005000000    .005000000
    .035212079    .114084599    .114084599
    .007000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .001883765    .003000715    .003000715
    .002016235    .000899285    .000899285
    .030000000    .005000000    .005000000
    .000004156    .000014686    .000014686
    .002016235    .000985314    .000985314
   .1000D+00   .1000D-06
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .035000000    .140000000    .140000000
    .012000000    .005000000    .005000000
    .035212079    .114084599    .114084599
    .007000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .001883765    .003000715    .003000715
    .002016235    .000899285    .000899285
    .030000000    .005000000    .005000000
    .000004156    .000014686    .000014686
    .002016235    .000985314    .000985314
   .1000D+00   .1000D-06
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .035000000    .140000000    .140000000
    .012000000    .005000000    .005000000
    .035212079    .114084599    .114084599
    .007000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .001883765    .003000715    .003000715
    .002016235    .000899285    .000899285
    .030000000    .005000000    .005000000
    .000004156    .000014686    .000014686
    .002016235    .000985314    .000985314
