  0.1000D+00  0.1000D-06
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0000  0.0000
   0.140000000   0.150000000   0.150000000
   0.005000000   0.005000000   0.005000000
   0.115596586   0.125596586   0.125596586
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
  0.1000D+00  0.5000D-06
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0000  0.0000
   0.140000000   0.150000000   0.150000000
   0.005000000   0.005000000   0.005000000
   0.115596586   0.125596586   0.125596586
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
  0.1000D+00  0.1000D-06
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0000  0.0000
   0.140000000   0.150000000   0.150000000
   0.005000000   0.005000000   0.005000000
   0.115596586   0.125596586   0.125596586
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
  0.1000D+00  0.5000D-06
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0000  0.0000
   0.140000000   0.150000000   0.150000000
   0.005000000   0.005000000   0.005000000
   0.115596586   0.125596586   0.125596586
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
  0.1000D+00  0.1000D-06
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0000  0.0000
   0.140000000   0.150000000   0.150000000
   0.005000000   0.005000000   0.005000000
   0.115596586   0.125596586   0.125596586
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
  0.1000D+00  0.5000D-06
  0.0000  0.0000  0.0000
 12.0000  0.0000  0.0000
  0.0000  0.0000  0.0000
   0.140000000   0.150000000   0.150000000
   0.005000000   0.005000000   0.005000000
   0.115596586   0.125596586   0.125596586
   0.025000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002000477   0.002000477   0.002000477
   0.000599523   0.000599523   0.000599523
   0.005000000   0.005000000   0.005000000
   0.000002937   0.000002937   0.000002937
   0.000197063   0.000197063   0.000197063
