   .1000D+00   .4000D-03
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0050   .0050
    .060000000    .280000000    .280000000
    .060000000    .010000000    .020000000
    .110681421    .263428283    .273428283
    .003000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .003402511    .004539544    .004539544
    .008497489    .001360456    .001360456
    .300000000    .200000000    .500000000
    .000016069    .000132174    .000132174
    .008983931    .008867826    .008867826
