         X=0      X=1    ABSREAB  RELREAB

 FVM      5.00     2.26     2.74      .55
  NA     350.0    437.4    -87.4     -.25
  K      225.0    129.8     95.2      .42
  CL     473.6    510.9    -37.3     -.08
 HCO3     50.0     20.5     29.5      .59
H2CO3  .22D-01  .31D-01 -.89D-02     -.40
 CO2       7.5      3.4      4.1      .55
 HPO4     22.3     10.7     11.6      .52
H2PO4     16.7     27.4    -10.7     -.64
 UREA    300.0    124.2    175.8      .59
 NH3   .59D-01  .22D-01  .37D-01      .62
 NH4       9.9     12.9     -2.9     -.30
 FVM      5.00     2.24     2.76      .55
  NA     350.0    436.6    -86.6     -.25
  K      225.0    129.4     95.6      .42
  CL     473.6    509.7    -36.1     -.08
 HCO3     50.0     20.3     29.7      .59
H2CO3  .22D-01  .31D-01 -.86D-02     -.39
 CO2       7.5      3.4      4.1      .55
 HPO4     22.3     10.7     11.6      .52
H2PO4     16.7     27.4    -10.7     -.64
 UREA    300.0    135.9    164.1      .55
 NH3   .59D-01  .22D-01  .37D-01      .62
 NH4       9.9     12.8     -2.8     -.28
 FVM      5.00     2.22     2.78      .56
  NA     350.0    435.8    -85.8     -.25
  K      225.0    129.0     96.0      .43
  CL     473.6    508.5    -34.9     -.07
 HCO3     50.0     20.2     29.8      .60
H2CO3  .22D-01  .30D-01 -.82D-02     -.37
 CO2       7.5      3.3      4.2      .56
 HPO4     22.3     10.7     11.6      .52
H2PO4     16.7     27.4    -10.7     -.64
 UREA    300.0    147.5    152.5      .51
 NH3   .59D-01  .22D-01  .37D-01      .63
 NH4       9.9     12.7     -2.7     -.27
 FVM      5.00     2.19     2.81      .56
  NA     350.0    435.1    -85.1     -.24
  K      225.0    128.6     96.4      .43
  CL     473.6    507.3    -33.7     -.07
 HCO3     50.0     20.0     30.0      .60
H2CO3  .22D-01  .30D-01 -.80D-02     -.36
 CO2       7.5      3.3      4.2      .56
 HPO4     22.3     10.7     11.6      .52
H2PO4     16.7     27.3    -10.6     -.64
 UREA    300.0    158.9    141.1      .47
 NH3   .59D-01  .22D-01  .37D-01      .63
 NH4       9.9     12.6     -2.6     -.26
 FVM      5.00     2.17     2.83      .57
  NA     350.0    434.3    -84.3     -.24
  K      225.0    128.1     96.9      .43
  CL     473.6    506.2    -32.5     -.07
 HCO3     50.0     19.9     30.1      .60
H2CO3  .22D-01  .30D-01 -.77D-02     -.35
 CO2       7.5      3.3      4.2      .57
 HPO4     22.3     10.7     11.5      .52
H2PO4     16.7     27.3    -10.6     -.63
 UREA    300.0    170.3    129.7      .43
 NH3   .59D-01  .22D-01  .37D-01      .63
 NH4       9.9     12.5     -2.5     -.25
 FVM      5.00     2.15     2.85      .57
  NA     350.0    433.5    -83.5     -.24
  K      225.0    127.7     97.3      .43
  CL     473.6    505.0    -31.4     -.07
 HCO3     50.0     19.8     30.2      .60
H2CO3  .22D-01  .29D-01 -.74D-02     -.34
 CO2       7.5      3.2      4.3      .57
 HPO4     22.3     10.8     11.5      .52
H2PO4     16.7     27.3    -10.6     -.63
 UREA    300.0    181.6    118.4      .39
 NH3   .59D-01  .22D-01  .37D-01      .63
 NH4       9.9     12.4     -2.4     -.24
 FVM      5.00     2.12     2.88      .58
  NA     350.0    432.7    -82.7     -.24
  K      225.0    127.3     97.7      .43
  CL     473.6    503.8    -30.2     -.06
 HCO3     50.0     19.6     30.4      .61
H2CO3  .22D-01  .29D-01 -.71D-02     -.32
 CO2       7.5      3.2      4.3      .57
 HPO4     22.3     10.8     11.5      .52
H2PO4     16.7     27.2    -10.5     -.63
 UREA    300.0    192.8    107.2      .36
 NH3   .59D-01  .22D-01  .38D-01      .63
 NH4       9.9     12.3     -2.3     -.23
 FVM      5.00     2.10     2.90      .58
  NA     350.0    431.9    -81.9     -.23
  K      225.0    126.9     98.1      .44
  CL     473.6    502.7    -29.0     -.06
 HCO3     50.0     19.5     30.5      .61
H2CO3  .22D-01  .29D-01 -.68D-02     -.31
 CO2       7.5      3.2      4.3      .58
 HPO4     22.3     10.8     11.5      .52
H2PO4     16.7     27.2    -10.5     -.63
 UREA    300.0    203.9     96.1      .32
 NH3   .59D-01  .22D-01  .38D-01      .64
 NH4       9.9     12.2     -2.2     -.22
 FVM      5.00     2.08     2.92      .58
  NA     350.0    431.2    -81.2     -.23
  K      225.0    126.5     98.5      .44
  CL     473.6    501.5    -27.9     -.06
 HCO3     50.0     19.4     30.6      .61
H2CO3  .22D-01  .29D-01 -.66D-02     -.30
 CO2       7.5      3.1      4.4      .58
 HPO4     22.3     10.8     11.5      .51
H2PO4     16.7     27.2    -10.5     -.63
 UREA    300.0    214.9     85.1      .28
 NH3   .59D-01  .21D-01  .38D-01      .64
 NH4       9.9     12.1     -2.1     -.21
