   .1000D+00   .6000D-03
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .070000000    .140000000    .280000000
    .045000000    .005000000    .010000000
    .094729030    .114084599    .259084599
    .010000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .004459117    .003000715    .003000715
    .003340883    .000899285    .000899285
    .060000000    .005000000    .020000000
    .000011853    .000014686    .000014686
    .001988147    .000985314    .000985314
   .1000D+00   .6000D-03
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .070000000    .140000000    .280000000
    .045000000    .005000000    .010000000
    .094729030    .114084599    .259084599
    .010000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .004459117    .003000715    .003000715
    .003340883    .000899285    .000899285
    .060000000    .005000000    .030000000
    .000011853    .000014686    .000014686
    .001988147    .000985314    .000985314
   .1000D+00   .6000D-03
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .070000000    .140000000    .280000000
    .045000000    .005000000    .010000000
    .094729030    .114084599    .259084599
    .010000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .004459117    .003000715    .003000715
    .003340883    .000899285    .000899285
    .060000000    .005000000    .040000000
    .000011853    .000014686    .000014686
    .001988147    .000985314    .000985314
   .1000D+00   .6000D-03
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .070000000    .140000000    .280000000
    .045000000    .005000000    .010000000
    .094729030    .114084599    .259084599
    .010000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .004459117    .003000715    .003000715
    .003340883    .000899285    .000899285
    .060000000    .005000000    .050000000
    .000011853    .000014686    .000014686
    .001988147    .000985314    .000985314
   .1000D+00   .6000D-03
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .070000000    .140000000    .280000000
    .045000000    .005000000    .010000000
    .094729030    .114084599    .259084599
    .010000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .004459117    .003000715    .003000715
    .003340883    .000899285    .000899285
    .060000000    .005000000    .060000000
    .000011853    .000014686    .000014686
    .001988147    .000985314    .000985314
   .1000D+00   .6000D-03
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .070000000    .140000000    .280000000
    .045000000    .005000000    .010000000
    .094729030    .114084599    .259084599
    .010000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .004459117    .003000715    .003000715
    .003340883    .000899285    .000899285
    .060000000    .005000000    .070000000
    .000011853    .000014686    .000014686
    .001988147    .000985314    .000985314
   .1000D+00   .6000D-03
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .070000000    .140000000    .280000000
    .045000000    .005000000    .010000000
    .094729030    .114084599    .259084599
    .010000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .004459117    .003000715    .003000715
    .003340883    .000899285    .000899285
    .060000000    .005000000    .080000000
    .000011853    .000014686    .000014686
    .001988147    .000985314    .000985314
   .1000D+00   .6000D-03
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .070000000    .140000000    .280000000
    .045000000    .005000000    .010000000
    .094729030    .114084599    .259084599
    .010000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .004459117    .003000715    .003000715
    .003340883    .000899285    .000899285
    .060000000    .005000000    .090000000
    .000011853    .000014686    .000014686
    .001988147    .000985314    .000985314
   .1000D+00   .6000D-03
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .070000000    .140000000    .280000000
    .045000000    .005000000    .010000000
    .094729030    .114084599    .259084599
    .010000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .004459117    .003000715    .003000715
    .003340883    .000899285    .000899285
    .060000000    .005000000    .100000000
    .000011853    .000014686    .000014686
    .001988147    .000985314    .000985314
