   .1000D+00   .1800D-02
   .0000   .0000   .0000
   .0000   .0000   .0000
   .0000   .0000   .0000
    .140000000    .170000000    .170000000
    .010000000    .005000000    .010000000
    .119084599    .144084599    .149084599
    .025000000    .025000000    .025000000
    .000004412    .000004412    .000004412
    .001500000    .001500000    .001500000
    .003000715    .003000715    .003000715
    .000899285    .000899285    .000899285
    .005000000    .005000000    .005000000
    .000014686    .000014686    .000014686
    .000985314    .000985314    .000985314
