  0.1000D+00  0.2289D-06
  0.0864  0.0000  0.0000
  9.1546  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.143422482   0.140000000   0.140000000
   0.005071523   0.004900000   0.004900000
   0.117130488   0.113225077   0.113225077
   0.021765688   0.024000000   0.024000000
   0.000004442   0.000004412   0.000004412
   0.001519466   0.001500000   0.001500000
   0.003650566   0.002972122   0.002972122
   0.001265257   0.000927878   0.000927878
   0.005969628   0.005000000   0.005000000
   0.000002756   0.000002821   0.000002821
   0.000213838   0.000197179   0.000197179
   0.001245232   0.001000029   0.001000029
   0.000000394   0.000000285   0.000000285
   0.000412944   0.005000000   0.005000000
  0.1000D+00  0.2351D-06
  0.1623  0.0000  0.0000
  9.4038  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.143338755   0.140000000   0.140000000
   0.005105852   0.004900000   0.004900000
   0.117907739   0.113225077   0.113225077
   0.020881790   0.024000000   0.024000000
   0.000004432   0.000004412   0.000004412
   0.001516066   0.001500000   0.001500000
   0.003640405   0.002972122   0.002972122
   0.001312266   0.000927878   0.000927878
   0.006093140   0.005000000   0.005000000
   0.000002770   0.000002821   0.000002821
   0.000223560   0.000197179   0.000197179
   0.001285514   0.001000029   0.001000029
   0.000000423   0.000000285   0.000000285
   0.000304027   0.005000000   0.005000000
  0.1000D+00  0.2425D-06
  0.2448  0.0000  0.0000
  9.6992  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.143213152   0.140000000   0.140000000
   0.005142782   0.004900000   0.004900000
   0.118692869   0.113225077   0.113225077
   0.019991651   0.024000000   0.024000000
   0.000004428   0.000004412   0.000004412
   0.001514526   0.001500000   0.001500000
   0.003613714   0.002972122   0.002972122
   0.001359339   0.000927878   0.000927878
   0.006210725   0.005000000   0.005000000
   0.000002785   0.000002821   0.000002821
   0.000234544   0.000197179   0.000197179
   0.001319143   0.001000029   0.001000029
   0.000000453   0.000000285   0.000000285
   0.000227027   0.005000000   0.005000000
  0.1000D+00  0.2511D-06
  0.3320  0.0000  0.0000
 10.0430  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.143053840   0.140000000   0.140000000
   0.005182414   0.004900000   0.004900000
   0.119472326   0.113225077   0.113225077
